index,source,target
0,装備無し,Nothing Equipped
1,レザーライトアーム,Leather Arms
2,チェーンアーム,Chainmail Arms
3,ハンターアーム,Hunter's Arms
4,ハンターガード,Hunter's Guard
5,ボーンアーム,Bone Arms
6,ボーンガード,Bone Guard
7,ランポスアーム,Veloci Arms
8,ランポスガード,Veloci Guard
9,バトルアーム,Battle Arms
10,バトルガード,Battle Guard
11,ランゴアーム,Vespoid Arms
12,ランゴガード,Vespoid Guard
13,タロスアーム,Hornetaur Arms
14,タロスガード,Hornetaur Guard
15,ハイメタアーム,High Metal Arms
16,ハイメタガード,High Metal Guard
17,ゲネポスアーム,Gen Arms
18,ゲネポスガード,Gen Guard
19,クックアーム,Kut-Ku Arms
20,クックガード,Kut-Ku Guard
21,イーオスアーム,Io Arms
22,イーオスガード,Io Guard
23,ゲリョスアーム,Gypceros Arms
24,ゲリョスガード,Gypceros Guard
25,ガレオスアーム,Cepha Arms
26,ガレオスガード,Cepha Guard
27,スティールアーム,Steel Arms
28,レイアアーム,Rathian Arms
29,レイアガード,Rathian Guard
30,フルフルアーム,Khezu Arms
31,フルフルガード,Khezu Guard
32,レウスアーム,Rathalos Arms
33,レウスガード,Rathalos Guard
34,ガノスアーム,Plesioth Arms
35,ガノスガード,Plesioth Guard
36,キングロブスタアーム,King Lobster Arms
37,キングロブスタガード,King Lobster Guard
38,バサルアーム,Basarios Arms
39,バサルガード,Basarios Guard
40,ディアブロアーム,Diablos Arms
41,ディアブロガード,Diablos Guard
42,モノブロスアーム,Monoblos Arms
43,モノブロスガード,Monoblos Guard
44,グラビドアーム,Gravios Arms
45,グラビドガード,Gravios Guard
46,クロオビアーム,Black Belt Arms
47,モスパンチ,Mosswine Punch
48,マカルパスリーブ,Makluva Sleeve
49,ランポスーツハンド,Veloci Hands
50,ゲネポスーツハンド,Gen Hands
51,イーオスーツハンド,Io Hands
52,忍の篭手・陽,忍の Kote・陽
53,忍の篭手・陰,忍の Kote・陰
54,ガーディアンアーム,Guardian Arms
55,ガーディアンガード,Guardian Guard
56,ヘルパーカフス,Helper Cuffs
57,ヒーラーカフス,Healer Cuffs
58,ガルルガアーム,Garuga Arms
59,ガルルガガード,Garuga Guard
60,暁丸【篭手】,暁丸【 Kote 】
