index,source,target
0,装備無し,Nothing Equipped
1,レザーライトメイル,Leather Mail
2,チェーンメイル,Chainmail Mail
3,ハンターメイル,Hunter's Mail
4,ハンターレジスト,Hunter's Vest
5,ボーンメイル,Bone Mail
6,ボーンレジスト,Bone Vest
7,ランポスメイル,Veloci Mail
8,ランポスレジスト,Veloci Vest
9,バトルメイル,Battle Mail
10,バトルレジスト,Battle Vest
11,ランゴメイル,Vespoid Mail
12,ランゴレジスト,Vespoid Vest
13,タロスメイル,Hornetaur Mail
14,タロスレジスト,Hornetaur Vest
15,ハイメタメイル,High Metal Mail
16,ハイメタレジスト,High Metal Vest
17,ゲネポスメイル,Gen Mail
18,ゲネポスレジスト,Gen Vest
19,クックメイル,Kut-Ku Mail
20,クックレジスト,Kut-Ku Vest
21,イーオスメイル,Io Mail
22,イーオスレジスト,Io Vest
23,ゲリョスメイル,Gypceros Mail
24,ゲリョスレジスト,Gypceros Vest
25,ガレオスメイル,Cepha Mail
26,ガレオスレジスト,Cepha Vest
27,スティールメイル,Steel Mail
28,レイアメイル,Rathian Mail
29,レイアレジスト,Rathian Vest
30,フルフルメイル,Khezu Mail
31,フルフルレジスト,Khezu Vest
32,レウスメイル,Rathalos Mail
33,レウスレジスト,Rathalos Vest
34,ガノスメイル,Plesioth Mail
35,ガノスレジスト,Plesioth Vest
36,キングロブスタシェル,King Lobster Shell
37,キングロブスタスキン,King Lobster Skin
38,バサルメイル,Basarios Mail
39,バサルレジスト,Basarios Vest
40,ディアブロメイル,Diablos Mail
41,ディアブロレジスト,Diablos Vest
42,モノブロスメイル,Monoblos Mail
43,モノブロスレジスト,Monoblos Vest
44,グラビドメイル,Gravios Mail
45,グラビドレジスト,Gravios Vest
46,クロオビメイル,Black Belt Mail
47,モスブレスト,Mosswine Vest
48,メルホアトロンコ,Melahoa Ribplate
49,マカルパペプラム,Makluva Cover
50,ビストロベスト,Bistro Vest
51,ランポスーツボディ,Veloci ーツボディ
52,ゲネポスーツボディ,Gen ーツボディ
53,イーオスーツボディ,Io ーツボディ
54,忍の装束・陽,忍の Shozoku・陽
55,忍の装束・陰,忍の Shozoku・陰
56,ガーディアンスーツ,Guardian Suit
57,ガーディアンベスト,Guardian Vest
58,ヘルパーベスト,Helper Vest
59,ヒーラーベスト,Healer Vest
60,ガルルガメイル,Garuga Mail
61,ガルルガレジスト,Garuga Vest
62,暁丸【胴当て】,
63,曙丸【胴当て】,
64,凛【胸当て】,
65,艶【胸当て】,
66,ドラゴンハイド,Dragon Hide
67,ドラゴンスキン,Dragon Skin
68,レザーライトＵメイル,Leather U Mail
69,チェーンＵメイル,Chainmail U Mail
70,ハンターＵメイル,Hunter's U Mail
71,ハンターＵレジスト,Hunter's U Vest
72,ボーンＵメイル,Bone U Mail
73,ボーンＵレジスト,Bone U Vest
