index,source,target
0,装備無し,Nothing Equipped
1,レザーライトヘルム,Leather Helm
2,チェーンヘルム,Chainmail Helm
3,ハンターヘルム,Hunter's Helm
4,ハンターキャップ,Hunter's Cap
5,ボーンヘルム,Bone Helm
6,ボーンキャップ,Bone Cap
7,ランポスヘルム,Veloci Helm
8,ランポスキャップ,Veloci Cap
9,バトルヘルム,Battle Helm
10,バトルキャップ,Battle Cap
11,ランゴヘルム,Vespoid Helm
12,ランゴキャップ,Vespoid Cap
13,タロスヘルム,Hornetaur Helm
14,タロスキャップ,Hornetaur Cap
15,ハイメタヘルム,High Metal Helm
16,ハイメタキャップ,High Metal Cap
17,ゲネポスヘルム,Gen Helm
18,ゲネポスキャップ,Gen Cap
19,イーオスヘルム,Io Helm
20,イーオスキャップ,Io Cap
21,ゲリョスヘルム,Gypceros Helm
22,ゲリョスキャップ,Gypceros Cap
23,ガレオスヘルム,Cepha Helm
24,ガレオスキャップ,Cepha Cap
25,レイアヘルム,Rathian Helm
26,レイアキャップ,Rathian Cap
27,フルフルヘルム,Khezu Helm
28,フルフルキャップ,Khezu Cap
29,レウスヘルム,Rathalos Helm
30,レウスキャップ,Rathalos Cap
31,ガノスヘルム,Plesioth Helm
32,ガノスキャップ,Plesioth Cap
33,キングロブスタヘルム,King Lobster Helm
34,バサルヘルム,Basarios Helm
35,バサルキャップ,Basarios Cap
36,ディアブロヘルム,Diablos Helm
37,ディアブロキャップ,Diablos Cap
38,モノブロスヘルム,Monoblos Helm
39,モノブロスキャップ,Monoblos Cap
40,グラビドヘルム,Gravios Helm
41,グラビドキャップ,Gravios Cap
42,クロオビヘルム,Black Belt Helm
43,モスフェイク,Mosswine Mask
44,アイルーフェイク,Felyne Mask
45,混沌のパオ,Chaoshroom
46,メルホアフロール,Melahoa Vizor
47,マカルパフード,Makluva Hood
48,ビストロキャップ,Bistro Cap
49,ランポスフェイク,Veloci Mask
50,ゲネポスフェイク,Gen Mask
51,イーオスフェイク,Io Mask
52,ブルファンゴフェイク,Bullfango Mask
53,レッドピアス,Red Piercing
54,ブルーピアス,Blue Piercing
55,イエローピアス,Yellow Piercing
56,ブラックピアス,Black Piercing
57,忍の面・陽,Solar Shinobi Mask
58,忍の面・陰,Shadow Shinobi Mask
59,ガーディアンヘルム,Guardian Helm
60,ガーディアンマスク,Guardian Mask
61,ヘルパーフード,Helper Hood
62,ヒーラーグラス,Healer Glasses
63,スカルフェイス,Skull Face
64,ガルルガヘルム,Garuga Helm
65,ガルルガキャップ,Garuga Cap
66,ガルルガフェイク,Garuga Mask
67,暁丸【兜】,Auroros Helm
68,曙丸【烏帽子】,Genesis Headpiece
69,凛【鉢金】,Borealis Crown
70,艶【鉢金】,Glyph Crown
71,ドラゴンヘッド,Dragon Head
72,ドラゴンフェイス,Dragon Face
73,レザーライトＵヘルム,Leather U Helm
74,チェーンＵヘルム,Chainmail U Helm
75,ハンターＵヘルム,Hunter's U Helm
76,ハンターＵキャップ,Hunter's U Cap
77,ボーンＵヘルム,Bone U Helm
78,ボーンＵキャップ,Bone U Cap
79,ギアノスヘルム,Gia Helm
80,ギアノスキャップ,Gia Cap
81,バトルＵヘルム,Battle U Helm
82,バトルＵキャップ,Battle U Cap
83,ランゴＵヘルム,Vespoid U Helm
84,ランゴＵキャップ,Vespoid U Cap
85,タロスＵヘルム,Hornetaur U Helm
86,タロスＵキャップ,Hornetaur U Cap
87,ハイメタＵヘルム,High Metal U Helm
88,ハイメタＵキャップ,High Metal U Cap
89,ゲネポスＵヘルム,Gen U Helm
90,ゲネポスＵキャップ,Gen U Cap
91,イーオスＵヘルム,Io U Helm
92,イーオスＵキャップ,Io U Cap
93,ゲリョスＵヘルム,Gypceros U Helm
94,ゲリョスＵキャップ,Gypceros U Cap
95,ガレオスＵヘルム,Cepha U Helm
96,ガレオスＵキャップ,Cepha U Cap
97,リオハートヘルム,Rath Heart Helm
98,リオハートキャップ,Rath Heart Cap
99,フルフルＵヘルム,Khezu U Helm
100,フルフルＵキャップ,Khezu U Cap
101,リオソウルヘルム,Rath Soul Helm
102,リオソウルキャップ,Rath Soul Cap
103,ガノスＵヘルム,Plesioth U Helm
104,ガノスＵキャップ,Plesioth U Cap
105,バサルＵヘルム,Basarios U Helm
106,バサルＵキャップ,Basarios U Cap
107,ディアブロＵヘルム,Diablos U Helm
108,ディアブロＵキャップ,Diablos U Cap
109,モノデビルヘルム,Monodevil Helm
110,モノデビルキャップ,Monodevil Cap
111,グラビドＵヘルム,Gravios U Helm
112,グラビドＵキャップ,Gravios U Cap
113,忍の面・空,Shinobi Mask・Sky
114,忍の面・海,Shinobi Mask・Sea
115,ガーディアンＵヘルム,Guardian U Helm
116,ガーディアンＵマスク,Guardian U Mask
117,ヘルパーＵフード,Helper U Hood
118,ヒーラーＵベレー,Healer U Beret
119,暁丸・皇【兜】,Emperor Auroros Helm
120,曙丸・皇【烏帽子】,Emperor Genesis Helm
121,凛・皇【鉢金】,Emprr Borealis Crown
122,艶・皇【鉢金】,Emperor Glyph Crown
123,ミラバルカンヘッド,Fatalis Head
124,ミラバルカンフェイス,Fatalis Face
125,ゴールドルナヘルム,Golden Moon Helm
126,ゴールドルナキャップ,Golden Moon Cap
127,シルバーソルヘルム,Silver Sol Helm
128,シルバーソルキャップ,Silver Sol Cap
129,レザーライトＳヘルム,Leather S Helm
130,チェーンＳヘルム,Chainmail S Helm
131,ハンターＳヘルム,Hunter's S Helm
132,ハンターＳキャップ,Hunter's S Cap
133,ボーンＳヘルム,Bone S Helm
134,ボーンＳキャップ,Bone S Cap
135,ランポスＳヘルム,Veloci S Helm
136,ランポスＳキャップ,Veloci S Cap
137,バトルＳヘルム,Battle S Helm
138,バトルＳキャップ,Battle S Cap
139,ランゴＳヘルム,Vespoid S Helm
140,ランゴＳキャップ,Vespoid S Cap
141,タロスＳヘルム,Hornetaur S Helm
142,タロスＳキャップ,Hornetaur S Cap
143,ハイメタＳヘルム,High Metal S Helm
144,ハイメタＳキャップ,High Metal S Cap
145,ゲネポスＳヘルム,Gen S Helm
146,ゲネポスＳキャップ,Gen S Cap
147,クックＳヘルム,Kut-Ku S Helm
148,クックＳキャップ,Kut-Ku S Cap
149,イーオスＳヘルム,Io S Helm
150,イーオスＳキャップ,Io S Cap
151,ゲリョスＳヘルム,Gypceros S Helm
152,ゲリョスＳキャップ,Gypceros S Cap
153,ガレオスＳヘルム,Cepha S Helm
154,ガレオスＳキャップ,Cepha S Cap
155,レイアＳヘルム,Rathian S Helm
156,レイアＳキャップ,Rathian S Cap
157,フルフルＳヘルム,Khezu S Helm
158,フルフルＳキャップ,Khezu S Cap
159,レウスＳヘルム,Rathalos S Helm
160,レウスＳキャップ,Rathalos S Cap
161,ガノスＳヘルム,Plesioth S Helm
162,ガノスＳキャップ,Plesioth S Cap
163,バサルＳヘルム,Basarios S Helm
164,バサルＳキャップ,Basarios S Cap
165,ディアブロＳヘルム,Diablos S Helm
166,ディアブロＳキャップ,Diablos S Cap
167,モノブロスＳヘルム,Monoblos S Helm
168,モノブロスＳキャップ,Monoblos S Cap
169,グラビドＳヘルム,Gravios S Helm
170,グラビドＳキャップ,Gravios S Cap
171,忍の面・天,Shinobi Mask・Heaven
172,忍の面・地,Shinobi Mask・Earth
173,ギルドガードロポス紅,Red Guild Tricorne
174,ギルドガードマスク紅,Red Guild Mask
175,ギルドガードハット紅,Red Guild Hat
176,ギルドガードピアス紅,Red Guild Piercing
177,暁丸・覇【兜】,Titan Auroros Helm
178,曙丸・覇【烏帽子】,Titan Genesis Hdpce
179,凛・覇【鉢金】,Titan Borealis Crown
180,艶・覇【鉢金】,Titan Glyph Crown
181,ドラゴンＳヘッド,Dragon S Head
182,ドラゴンＳフェイス,Dragon S Face
183,ザザミヘルム,Hermitaur Helm
184,ザザミキャップ,Hermitaur Cap
185,ザザミＵヘルム,Hermitaur U Helm
186,ザザミＵキャップ,Hermitaur U Cap
187,ザザミＳヘルム,Hermitaur S Helm
188,ザザミＳキャップ,Hermitaur S Cap
189,コンガヘルム,Conga Helm
190,コンガキャップ,Conga Cap
191,コンガＵヘルム,Conga U Helm
192,コンガＵキャップ,Conga U Cap
193,コンガＳヘルム,Conga S Helm
194,コンガＳキャップ,Conga S Cap
195,ブランゴヘルム,Blango Helm
196,ブランゴキャップ,Blango Cap
197,ブランゴＵヘルム,Blango U Helm
198,ブランゴＵキャップ,Blango U Cap
199,ブランゴＳヘルム,Blango S Helm
200,ブランゴＳキャップ,Blango S Cap
201,ギザミヘルム,Ceanataur Helm
202,ギザミキャップ,Ceanataur Cap
203,ギザミＵヘルム,Ceanataur U Helm
204,ギザミＵキャップ,Ceanataur U Cap
205,ギザミＳヘルム,Ceanataur S Helm
206,ギザミＳキャップ,Ceanataur S Cap
207,キリンホーン,Kirin Horn
208,キリンコルノ,Kirin Corno
209,キリンＳホーン,Kirin S Horn
210,キリンＳコルノ,Kirin S Corno
211,クシャナアンク,Kushala Glare
212,クシャナスーラ,Kushala Snarl
213,ミヅハ【烏帽子】,Mizuha [Eboshi 】
214,トヨタマ【烏帽子】,Toyotama [Eboshi 】
215,エンプレスセクター,Empress Crown
216,エンプレスマスク,Empress Mask
217,金剛【兜】,Indra Helm
218,不動【兜】,Steadfast Helm
219,カイザークラウン,Kaiser Crown
220,カイザーマスク,Kaiser Mask
221,夜叉【御面】,Guardian Mask
222,修羅【御面】,Carnage Mask
223,金色ノ添髪,Golden Hair Tie
224,黒子ノ面隠,Puppetmaster Mask
225,ミラルーツヘッド,White Fatalis Head
226,ミラルーツフェイス,White Fatalis Face
227,クロオビＳヘルム,Black Belt S Helm
228,ギアノスフェイク,Gia Mask
229,ガブラスフェイク,Remobra Mask
230,ギルドナイトフェザー,Guild Knight Feather
231,ギルドナイトマスク,Guild Knight Mask
232,メイドカチューシャ,Maid Headband
233,プライベートグラス,Private Glasses
234,ホワイトピアス,White Piercing
235,ギルドガードロポス蒼,Blue Guild Tricorne
236,ギルドガードマスク蒼,Blue Guild Mask
237,ギルドガードハット蒼,Blue Guild Hat
238,ギルドガードピアス蒼,Blue Guild Piercing
239,Ｋ・ロブスタキャップ,Lobster Cap
240,技のピアス,Piercing of Skill
241,力のピアス,Piercing of Power
242,命のピアス,Piercing of Life
243,名人のピアス,Expert's Piercing
244,職人のピアス,Craftsman's Piercing
245,凄腕のピアス,Master's Piercing
246,強運のピアス,Piercing of Fortune
247,悪運のピアス,Ill Omen Piercing
248,護人のピアス,Protector's Piercing
249,勇者のピアス,Hero's Piercing
250,Ｆヘッド00,F Head 00
251,Ｆヘッド01,F Head 01
252,フレアーピアス,Freya Piercing
253,クックイヤーカフス,Kut-Ku Ear Cuffs
254,クックイヤリング,Kut-Ku Earrings
255,クックＵヘルム,Kut-Ku U Helm
256,クックＵキャップ,Kut-Ku U Cap
257,ヒプノヘルム,Hypnoc Helm
258,ヒプノキャップ,Hypnoc Cap
