index,source,target
0,装備無し,Nothing Equipped
1,グリーンジャージー,Green Jersey
2,ブルージャージー,Blue Jersey
3,ハンターグリーヴ,Hunter's Greaves
4,ハンターレギンス,Hunter's Leggings
5,ボーングリーヴ,Bone Greaves
6,ボーンレギンス,Bone Leggings
7,ランポスグリーヴ,Veloci Greaves
8,ランポスレギンス,Veloci Leggings
9,バトルグリーヴ,Battle Greaves
10,バトルレギンス,Battle Leggings
11,シルバーメタルブーツ,Silver Metal Boots
12,ランゴグリーヴ,Vespoid Greaves
13,ランゴレギンス,Vespoid Leggings
14,タロスグリーヴ,Hornetaur Greaves
15,タロスレギンス,Hornetaur Leggings
16,ハイメタグリーヴ,High Metal Greaves
17,ハイメタレギンス,High Metal Leggings
18,ダークメタルブーツ,Dark Metal Boots
19,ゲネポスグリーヴ,Gen Greaves
20,ゲネポスレギンス,Gen Leggings
21,ピンクメタルブーツ,Pink Metal Boots
22,クロムメタルブーツ,Chrome Metal Boots
23,イーオスグリーヴ,Io Greaves
24,イーオスレギンス,Io Leggings
25,ゲリョスグリーヴ,Gypceros Greaves
26,ゲリョスレギンス,Gypceros Leggings
27,ガレオスグリーヴ,Cepha Greaves
28,ガレオスレギンス,Cepha Leggings
29,レイアグリーヴ,Rathian Greaves
30,レイアレギンス,Rathian Leggings
31,フルフルグリーヴ,Khezu Greaves
32,フルフルレギンス,Khezu Leggings
33,レウスグリーヴ,Rathalos Greaves
34,レウスレギンス,Rathalos Leggings
35,ガノスグリーヴ,Plesioth Greaves
36,ガノスレギンス,Plesioth Leggings
37,バサルグリーヴ,Basarios Greaves
38,バサルレギンス,Basarios Leggings
39,ディアブログリーヴ,Diablos Greaves
40,ディアブロレギンス,Diablos Leggings
41,モノブロスグリーヴ,Monoblos Greaves
42,モノブロスレギンス,Monoblos Leggings
43,グラビドグリーヴ,Gravios Greaves
44,グラビドレギンス,Gravios Leggings
45,クロオビグリーヴ,Black Belt Greaves
46,モスフット,Mosswine Feet
47,ランポスーツフット,Veloci ーツ Feet
48,ゲネポスーツフット,Gen ーツ Feet
49,イーオスーツフット,Io ーツ Feet
50,忍の足袋・陽,忍の Tabi・陽
51,忍の足袋・陰,忍の Tabi・陰
52,ガーディアンブーツ,Guardian Boots
53,ガーディアンフット,Guardian Feet
54,ヘルパーソックス,Helper Socks
55,ヒーラーソックス,Healer Socks
56,ガルルガグリーヴ,Garuga Greaves
57,ガルルガレギンス,Garuga Leggings
58,暁丸【具足】,暁丸【Greaves】
59,曙丸【具足】,曙丸【Greaves】
60,凛【袴】,凛【 Hakama 】
61,艶【袴】,艶【 Hakama 】
62,紅凛【袴】,Crimson 凛【 Hakama 】
63,紅艶【袴】,Crimson 艶【 Hakama 】
64,ドラゴンフット,Dragon Feet
65,ドラゴンレグス,Dragon Legs
66,クリームジャージー,クリーム Jersey
67,コーヒージャージー,コーヒー Jersey
68,ハンターＵグリーヴ,Hunter's U Greaves
69,ハンターＵレギンス,Hunter's U Leggings
70,ボーンＵグリーヴ,Bone U Greaves
71,ボーンＵレギンス,Bone U Leggings
72,ギアノスグリーヴ,Gia Greaves
73,ギアノスレギンス,Gia Leggings
74,バトルＵグリーヴ,Battle U Greaves
75,バトルＵレギンス,Battle U Leggings
76,ランゴＵグリーヴ,Vespoid U Greaves
77,ランゴＵレギンス,Vespoid U Leggings
78,タロスＵグリーヴ,Hornetaur U Greaves
79,タロスＵレギンス,Hornetaur U Leggings
80,ハイメタＵグリーヴ,High Metal U Greaves
81,ハイメタＵレギンス,High Metal U Leggings
82,ゲネポスＵグリーヴ,Gen U Greaves
83,ゲネポスＵレギンス,Gen U Leggings
84,イーオスＵグリーヴ,Io U Greaves
85,イーオスＵレギンス,Io U Leggings
86,ゲリョスＵグリーヴ,Gypceros U Greaves
87,ゲリョスＵレギンス,Gypceros U Leggings
88,ガレオスＵグリーヴ,Cepha U Greaves
89,ガレオスＵレギンス,Cepha U Leggings
90,リオハートグリーヴ,Rath Heart Greaves
91,リオハートレギンス,Rath Heart Leggings
92,フルフルＵグリーヴ,Khezu U Greaves
93,フルフルＵレギンス,Khezu U Leggings
94,リオソウルグリーヴ,Rath Soul Greaves
95,リオソウルレギンス,Rath Soul Leggings
96,ガノスＵグリーヴ,Plesioth U Greaves
97,ガノスＵレギンス,Plesioth U Leggings
98,バサルＵグリーヴ,Basarios U Greaves
99,バサルＵレギンス,Basarios U Leggings
100,ディアブロＵグリーヴ,Diablos U Greaves
101,ディアブロＵレギンス,Diablos U Leggings
102,モノデビルグリーヴ,Monodevil Greaves
103,モノデビルレギンス,Monodevil Leggings
104,グラビドＵグリーヴ,Gravios U Greaves
105,グラビドＵレギンス,Gravios U Leggings
106,忍の足袋・空,忍の Tabi・空
107,忍の足袋・海,忍の Tabi・海
108,ガーディアンＵブーツ,Guardian U Boots
109,ガーディアンＵフット,Guardian U Feet
110,ヘルパーＵソックス,Helper U Socks
111,ヒーラーＵソックス,Healer U Socks
112,暁丸・皇【具足】,暁丸・皇【Greaves】
113,曙丸・皇【具足】,曙丸・皇【Greaves】
114,凛・皇【袴】,凛・皇【 Hakama 】
115,艶・皇【袴】,艶・皇【 Hakama 】
116,ミラバルカンフット,ミラ Vulcan Feet
117,ミラバルカンレグス,ミラ Vulcan Legs
118,ゴールドルナグリーヴ,ゴールド Lune Greaves
119,ゴールドルナレギンス,ゴールド Lune Leggings
120,シルバーソルグリーヴ,Silver Sol Greaves
121,シルバーソルレギンス,Silver Sol Leggings
122,グリーンＳジャージー,Green S Jersey
123,ブルーＳジャージー,Blue S Jersey
124,ハンターＳグリーヴ,Hunter's S Greaves
125,ハンターＳレギンス,Hunter's S Leggings
126,ボーンＳグリーヴ,Bone S Greaves
127,ボーンＳレギンス,Bone S Leggings
128,ランポスＳグリーヴ,Veloci S Greaves
129,ランポスＳレギンス,Veloci S Leggings
130,バトルＳグリーヴ,Battle S Greaves
131,バトルＳレギンス,Battle S Leggings
132,ランゴＳグリーヴ,Vespoid S Greaves
133,ランゴＳレギンス,Vespoid S Leggings
134,タロスＳグリーヴ,Hornetaur S Greaves
135,タロスＳレギンス,Hornetaur S Leggings
136,ハイメタＳグリーヴ,High Metal S Greaves
137,ハイメタＳレギンス,High Metal S Leggings
138,ゲネポスＳグリーヴ,Gen S Greaves
139,ゲネポスＳレギンス,Gen S Leggings
140,クックＳグリーヴ,Kut-Ku S Greaves
141,クックＳレギンス,Kut-Ku S Leggings
142,イーオスＳグリーヴ,Io S Greaves
143,イーオスＳレギンス,Io S Leggings
144,ゲリョスＳグリーヴ,Gypceros S Greaves
145,ゲリョスＳレギンス,Gypceros S Leggings
146,ガレオスＳグリーヴ,Cepha S Greaves
147,ガレオスＳレギンス,Cepha S Leggings
148,レイアＳグリーヴ,Rathian S Greaves
149,レイアＳレギンス,Rathian S Leggings
150,フルフルＳグリーヴ,Khezu S Greaves
151,フルフルＳレギンス,Khezu S Leggings
152,レウスＳグリーヴ,Rathalos S Greaves
153,レウスＳレギンス,Rathalos S Leggings
154,ガノスＳグリーヴ,Plesioth S Greaves
155,ガノスＳレギンス,Plesioth S Leggings
156,バサルＳグリーヴ,Basarios S Greaves
157,バサルＳレギンス,Basarios S Leggings
158,ディアブロＳグリーヴ,Diablos S Greaves
159,ディアブロＳレギンス,Diablos S Leggings
160,モノブロスＳグリーヴ,Monoblos S Greaves
161,モノブロスＳレギンス,Monoblos S Leggings
162,グラビドＳグリーヴ,Gravios S Greaves
163,グラビドＳレギンス,Gravios S Leggings
164,忍の足袋・天,忍の Tabi・Heaven
165,忍の足袋・地,忍の Tabi・Earth
166,ギルドガードブーツ紅,Guild Guard Boots Crimson
167,ギルドガードタイツ紅,Guild Guard タイツ Crimson
168,ギルドガードブーツ紅,Guild Guard Boots Crimson
169,ギルドガードタイツ紅,Guild Guard タイツ Crimson
170,暁丸・覇【具足】,
171,曙丸・覇【具足】,
172,凛・覇【袴】,凛・覇【 Hakama 】
173,艶・覇【袴】,艶・覇【 Hakama 】
174,ドラゴンＳフット,Dragon S Feet
175,ドラゴンＳレグス,Dragon S Legs
176,ザザミグリーヴ,Hermitaur Greaves
177,ザザミレギンス,Hermitaur Leggings
178,ザザミＵグリーヴ,Hermitaur U Greaves
179,ザザミＵレギンス,Hermitaur U Leggings
180,ザザミＳグリーヴ,Hermitaur S Greaves
181,ザザミＳレギンス,Hermitaur S Leggings
182,コンガグリーヴ,Conga Greaves
183,コンガレギンス,Conga Leggings
184,コンガＵグリーヴ,Conga U Greaves
185,コンガＵレギンス,Conga U Leggings
186,コンガＳグリーヴ,Conga S Greaves
187,コンガＳレギンス,Conga S Leggings
188,ブランゴグリーヴ,Blango Greaves
189,ブランゴレギンス,Blango Leggings
190,ブランゴＵグリーヴ,Blango U Greaves
191,ブランゴＵレギンス,Blango U Leggings
192,ブランゴＳグリーヴ,Blango S Greaves
193,ブランゴＳレギンス,Blango S Leggings
194,ギザミグリーヴ,Ceanataur Greaves
195,ギザミレギンス,Ceanataur Leggings
196,ギザミＵグリーヴ,Ceanataur U Greaves
197,ギザミＵレギンス,Ceanataur U Leggings
198,ギザミＳグリーヴ,Ceanataur S Greaves
199,ギザミＳレギンス,Ceanataur S Leggings
200,キリンレガース,Kirin レガース
201,キリンブーツ,Kirin Boots
202,キリンＳレガース,Kirin Sレガース
203,キリンＳブーツ,Kirin S Boots
204,クシャナペイル,Kushala ペイル
205,クシャナハディ,Kushala ハディ
206,ミヅハ【具足】,Mizuha 【具足】
207,トヨタマ【具足】,Toyotama 【具足】
208,エンプレスグリーヴ,Empress Greaves
209,エンプレスレギンス,Empress Leggings
210,金剛【具足】,Gold 剛【具足】
211,不動【具足】,
212,カイザーグリーヴ,Kaiser Greaves
213,カイザーレギンス,Kaiser Leggings
214,夜叉【御足】,
215,修羅【御足】,
216,金色ノ袴,Golden Hakama
217,黒子ノ足袋,Puppeteer ノ Tabi
218,ミラルーツフット,White Fatalis Feet
219,ミラルーツレギンス,White Fatalis Leggings
220,クロオビＳグリーヴ,Black Belt S Greaves
221,ギアノスーツフット,Gia ーツ Feet
222,ガブラスーツフット,Remobra ーツ Feet
223,ギルドナイトブーツ,Guild Knight Boots
224,ギルドナイトタイツ,Guild Knight タイツ
225,メイドストッキング,Maid ストッキング
226,プライベートタイツ,Private タイツ
227,ギルドガードブーツ蒼,Guild Guard Boots Green
228,ギルドガードタイツ蒼,Guild Guard タイツ Green
229,ギルドガードブーツ蒼,Guild Guard Boots Green
230,ギルドガードタイツ蒼,Guild Guard タイツ Green
231,Ｋ・ロブスタグリーヴ,K・ロブスタ Greaves
232,Ｋ・ロブスタレギンス,K・ロブスタ Leggings
233,Ｆブーツ00,F Boots 00
234,Ｆブーツ01,F Boots 01
235,ブレイドメタルブーツ,ブレイド Metal Boots
236,クックグリーヴ,Kut-Ku Greaves
237,クックレギンス,Kut-Ku Leggings
238,クックＵグリーヴ,Kut-Ku U Greaves
239,クックＵレギンス,Kut-Ku U Leggings
240,ヒプノグリーヴ,Hypnoc Greaves
241,ヒプノレギンス,Hypnoc Leggings
242,ヒプノＵグリーヴ,Hypnoc U Greaves
243,ヒプノＵレギンス,Hypnoc U Leggings
244,ラヴァグリーヴ,Lavasioth Greaves
245,ラヴァレギンス,Lavasioth Leggings
246,ラヴァＳグリーヴ,Lavasioth S Greaves
247,ラヴァＳレギンス,Lavasioth S Leggings
248,ギアノスＵグリーヴ,Gia U Greaves
249,ギアノスＵレギンス,Gia U Leggings
250,しろねこ服ブーツ,White Cat Boots
251,くろねこ服ブーツ,Black Cat Boots
252,きんねこ服ブーツ,Gold Cat Boots
253,ゴシックグリーヴ,Gothic Greaves
254,ゴシックＦグリーヴ,Gothic F Greaves
255,ベイルディバイダー,Beil Divider
256,コムラドブーツ【猩】,Comrade Boots 【猩】
257,ジストレルレッグ,Jisutoreru Leg
258,デュオグリーヴ,Duo Greaves
259,スマートレッグ,Smart Leg
260,ストレングスレッグ,Strength Leg
261,ブートアップレッグ,Boot Up Leg
262,ユウェネスレッグ,Yuenesu Leg
263,欠番,Missing No.
264,欠番,Missing No.
265,エアリアルレッグ,Aerial Leg
266,ジストレッグ,ジスト Leg
267,欠番,Missing No.
268,エクストラレッグ,Extra Leg
269,ウナペルトレッグ,ウナペルト Leg
270,キューラーレッグ,Kyuura Leg
271,欠番,Missing No.
272,欠番,Missing No.
273,レックスグリーヴ,Tigrex Greaves
274,レックスレギンス,Tigrex Leggings
275,レックスＳグリーヴ,Tigrex S Greaves
276,レックスＳレギンス,Tigrex S Leggings
277,パピメルガンバ,Butterfly Crura
278,パピメルフェムル,Butterfly フェムル
279,パピメルＳガンバ,Butterfly S Crura
280,パピメルＳフェムル,Butterfly Sフェムル
281,アカムトケマル,Akantor ケマル
282,アカムトチケル,Akantor チケル
283,ウナペルトＦレッグ,ウナペルトF Leg
284,あかねこ服Ｆブーツ,Red Cat F Boots
285,メルホアライース,Melahoa Roots
286,メルホアＵライース,Melahoa U Roots
287,マカルパパンツ,Makluva Pants
288,マカルパＵパンツ,Makluva U Pants
289,オウビートガンバ,King Beetle Crura
290,オウビートフェムル,King Beetle フェムル
