index,source,target
0,装備無し,Nothing Equipped
1,レザーライトベルト,Leather Belt
2,スキンライトベルト,Skin Light Belt
3,チェーンライトベルト,Chainmail Belt
4,アイアンベルト,Iron Belt
5,ハンターフォールド,Hunter's Faulds
6,ハンターコート,Hunter's Coat
7,ボーンフォールド,Bone Faulds
8,ボーンコート,Bone Coat
9,ランポスフォールド,Veloci Faulds
10,ランポスコート,Veloci Coat
11,バトルフォールド,Battle Faulds
12,バトルコート,Battle Coat
13,ハイドベルト,Hide Belt
14,ランゴフォールド,Vespoid Faulds
15,ランゴコート,Vespoid Coat
16,タロスフォールド,Hornetaur Faulds
17,タロスコート,Hornetaur Coat
18,ハイメタフォールド,High Metal Faulds
19,ハイメタコート,High Metal Coat
20,ゲネポスフォールド,Gen Faulds
21,ゲネポスコート,Gen Coat
22,クロムメタルコイル,Chrome Metal Coil
23,クックフォールド,Kut-Ku Faulds
24,クックコート,Kut-Ku Coat
25,イーオスフォールド,Io Faulds
26,イーオスコート,Io Coat
27,ゲリョスフォールド,Gypceros Faulds
28,ゲリョスコート,Gypceros Coat
29,ガレオスフォールド,Cepha Faulds
30,ガレオスコート,Cepha Coat
31,スティールベルト,Steel Belt
32,レイアフォールド,Rathian Faulds
33,レイアコート,Rathian Coat
34,フルフルフォールド,Khezu Faulds
35,フルフルコート,Khezu Coat
36,レウスフォールド,Rathalos Faulds
37,レウスコート,Rathalos Coat
38,バサルフォールド,Basarios Faulds
39,バサルコート,Basarios Coat
40,ディアブロコイル,Diablos Coil
41,ディアブロコート,Diablos Coat
42,モノブロスコイル,Monoblos Coil
43,モノブロスコート,Monoblos Coat
44,グラビドフォールド,Gravios Faulds
45,グラビドコート,Gravios Coat
46,クロオビフォールド,Black Belt Faulds
47,モスヒップ,Mosswine Hip
48,メルホアオッハ,Melahoa Folia
49,ビストロエプロン,Bistro Apron
50,忍の帯・陽,忍の Obi・陽
51,忍の帯・陰,忍の Obi・陰
52,ガーディアンコイル,Guardian Coil
53,ガーディアンコート,Guardian Coat
54,ヘルパースカート,Helper Skirt
55,ヒーラーフリル,Healer Frill
56,ガルルガフォールド,Garuga Faulds
57,ガルルガコート,Garuga Coat
58,暁丸【腰当て】,
59,曙丸【腰当て】,
60,凛【腰当て】,
