index,source,target
0,−−−−−−,
1,調合書①入門編,Book of Combos 1
2,調合書②初級編,Book of Combos 2
3,調合書③中級編,Book of Combos 3
4,調合書④上級編,Book of Combos 4
5,調合書⑤達人編,Book of Combos 5
6,調合書Ｇ・錬金編,Alchemy Guide
7,回復薬,Potion
8,回復薬グレート,Mega Potion
9,栄養剤,Nutrients
10,栄養剤グレート,Mega Nutrients
11,解毒薬,Antidote
12,活力剤,Immunizer
13,強走薬,Dash Juice
14,強走薬グレート,Mega Dash Juice
15,鬼人薬,Demondrug
16,鬼人薬グレート,Mega Demondrug
17,怪力の丸薬,Might Pill
18,硬化薬,Armorskin
19,硬化薬グレート,Mega Armorskin
20,忍耐の丸薬,Adamant Pill
21,クーラードリンク,Cool Drink
22,ホットドリンク,Hot Drink
23,千里眼の薬,Psychoserum
24,モンスターの体液,Monster Fluid
25,モンスターの濃汁,Monster Broth
26,漢方薬,Herbal Medicine
27,秘薬,Max Potion
28,いにしえの秘薬,Ancient Potion
29,増強剤,Catalyst
30,元気ドリンコ,Energy Drink
31,（ダミー）,(dummy)
32,爆薬,Gunpowder
33,生命の粉,Lifecrystals
34,生命の粉塵,Lifepowder
35,力の護符,Powercharm
36,力の爪,Powertalon
37,守りの護符,Armorcharm
38,守りの爪,Armortalon
39,捕獲用麻酔薬,Tranquilizer
40,生肉,Raw Meat
41,調理肉,Oiled Meat
42,スパイシー生肉,Spiced Meat
43,クール生肉,Glazed meat
44,毒生肉,Poisoned Meat
45,シビレ生肉,Tinged Meat
46,眠り生肉,Drugged Meat
47,生焼け肉,Rare Steak
48,こんがり肉,Well-done Steak
49,こんがり肉Ｇ,Gourmet Steak
50,コゲ肉,Burnt Meat
51,ホットミート,Hot Meat
52,ホットミートＧ,Hot Meat+
53,クーラーミート,Chilled Meat
54,クーラーミートＧ,Chilled Meat+
55,解毒ミート,Antidote Meat
56,解毒ミートＧ,Antidote Meat+
57,生焼け魚,Rare Fish
58,こんがり魚,Well Done Fish
59,こんがり魚ドス,Well Done Fish Dos
60,こんがり魚Ｇ,Gourmet Fish
61,こんがり魚ドスＧ,Gourmet Fish Dos
62,コゲ魚,Burnt Fish
63,（ダミー）,(dummy)
64,ブーメラン,Boomerang
65,投げナイフ,Throwing Knife
66,毒投げナイフ,Poison Knife
67,眠り投げナイフ,Sleep Knife
68,麻痺投げナイフ,Paralysis Knife
69,捕獲用麻酔ナイフ,Tranq Knife
70,素材玉,Bomb Casing
71,ペイントボール,Paintball
72,閃光玉,Flash Bomb
73,音爆弾,Sonic Bomb
74,モンスターのフン,Dung
75,こやし玉,Dung Bomb
76,けむり玉,Smoke Bomb
77,毒けむり玉,Poison Smoke Bomb
78,モドリ玉,Farcaster
79,消臭玉,Deodorant
80,捕獲用麻酔玉,Tranq Bomb
81,クモの巣,Spiderweb
82,ネット,Net
83,トラップツール,Trap Tool
84,落とし穴,Pitfall Trap
85,シビレ罠,Shock Trap
86,爆雷針,Lightning Rod
87,（ダミー）,(dummy)
88,タルの蓋,Barrel Lid
89,小タル,Small Barrel
90,大タル,Large Barrel
91,小タル爆弾,Barrel Bomb S
92,小タル爆弾Ｇ,Barrel Bomb S+
93,大タル爆弾,Barrel Bomb L
94,大タル爆弾Ｇ,Barrel Bomb L+
95,打上げタル爆弾,Bounce Bomb
96,打上げタル爆弾Ｇ,Bounce Bomb+
97,対巨龍爆弾,Anti-Dragon Bomb
98,イベント爆弾,Event Bomb
99,カラの実,Huskberry
100,カラ骨【小】,Bone Husk S
101,カラ骨【大】,Bone Husk L
