index,source,target
0,dummy,
1,"‾C05≪総合ショップ≫
‾C00から入手可能。","Available for purchase 
from the ‾C05General Store‾C00."
2,"‾C05≪総合ショップ≫
‾C00から入手可能。","Available for purchase 
from the ‾C05General Store‾C00."
3,"‾C05≪総合ショップ≫
‾C00から入手可能。","Available for purchase 
from the ‾C05General Store‾C00."
4,"‾C05≪総合ショップ≫
‾C00から入手可能。","Available for purchase 
from the ‾C05General Store‾C00."
5,"‾C05≪総合ショップ≫
‾C00から入手可能。","Available for purchase 
from the ‾C05General Store‾C00."
6,"条件達成時に
‾C05≪調合屋≫‾C00
から入手可能。","Available for purchase 
from the ‾C05Combiner 
‾C02After certain conditions‾C00."
7,"‾C05≪総合ショップ≫
‾C00から入手可能。","Available for purchase 
from the ‾C05General Store‾C00."
8,"‾C05≪調合≫
‾C00することで入手可能。",Obtained from ‾C05Combining‾C00.
9,"‾C05≪総合ショップ≫
‾C00から入手可能。","Available for purchase 
from the ‾C05General Store‾C00."
10,"‾C05≪調合≫‾C00することや
‾C05≪ギルド貢献Ｐ交換≫
‾C00から入手可能。",Trading: ‾C05GCP ‾C00points.
11,"‾C05≪総合ショップ≫
‾C00から入手可能。","Available for purchase 
from the ‾C05General Store‾C00."
12,"‾C05≪調合≫
‾C00することで入手可能。",Obtained from ‾C05Combining‾C00.
13,"‾C05≪調合≫
‾C00することで入手可能。",Obtained from ‾C05Combining‾C00.
14,"‾C05≪調合≫‾C00することや
‾C05≪ギルド貢献Ｐ交換≫
‾C00から入手可能。",Trading: ‾C05GCP ‾C00points.
15,"‾C05≪調合≫
‾C00することで入手可能。",Obtained from ‾C05Combining‾C00.
16,"‾C05≪調合≫‾C00することや
‾C05≪ギルド貢献Ｐ交換≫
‾C00から入手可能。",Trading: ‾C05GCP ‾C00points.
17,"‾C05≪調合≫
‾C00することで入手可能。",Obtained from ‾C05Combining‾C00.
18,"‾C05≪調合≫
‾C00することで入手可能。",Obtained from ‾C05Combining‾C00.
19,"‾C05≪調合≫‾C00することや
‾C05≪ギルド貢献Ｐ交換≫
‾C00から入手可能。",Trading: ‾C05GCP ‾C00points.
20,"‾C05≪調合≫
‾C00することで入手可能。",Obtained from ‾C05Combining‾C00.
21,"‾C05≪総合ショップ≫
‾C00から入手可能。","Available for purchase 
from the ‾C05General Store‾C00."
22,"‾C05≪総合ショップ≫
‾C00から入手可能。","Available for purchase 
from the ‾C05General Store‾C00."
23,"‾C05≪総合ショップ≫
‾C00から入手可能。","Available for purchase 
from the ‾C05General Store‾C00."
24,"‾C05≪ＨＲ1〜2≫‾C00の
‾C05≪ランゴスタ≫≪カンタロス≫‾C00や
‾C05≪Ｎポイント交換≫‾C00から入手可能。","Found in ‾C05[HR 1-2] 
‾C00Trading: ‾C05Npoints ‾C00or
Carve ‾C05Vespoid ‾C00or ‾C05Hornetaur‾C00."
25,"‾C05≪ＨＲ3〜4≫‾C00の
‾C05≪ランゴスタ≫≪カンタロス≫‾C00や
‾C05≪Ｎポイント交換≫‾C00から入手可能。","Found in ‾C05[HR 3-4] 
‾C00Trading: ‾C05Npoints ‾C00or
Carve ‾C05Vespoid ‾C00or ‾C05Hornetaur‾C00."
26,"‾C05≪調合≫
‾C00することで入手可能。",Obtained from ‾C05Combining‾C00.
27,"‾C05≪調合≫‾C00することや
‾C05≪ギルド貢献Ｐ交換≫
‾C00から入手可能。",Trading: ‾C05GCP ‾C00points.
28,"‾C05≪調合≫‾C00や
‾C05≪Ｎポイント交換≫‾C00
から入手可能。","Obtained by ‾C05Combination ‾C00or
Trading: ‾C05Npoints‾C00."
29,"‾C05≪調合≫
‾C00することで入手可能。",Obtained from ‾C05Combining‾C00.
30,"‾C05≪調合≫
‾C00することで入手可能。",Obtained from ‾C05Combining‾C00.
31,dummy,
32,"‾C05≪総合ショップ≫
‾C00から入手可能。","Available for purchase 
from the ‾C05General Store‾C00."
33,"‾C05≪調合≫
‾C00することで入手可能。",Obtained from ‾C05Combining‾C00.
34,"‾C05≪調合≫‾C00することや
‾C05≪ギルド貢献Ｐ交換≫
‾C00から入手可能。",Trading: ‾C05GCP ‾C00points.
35,"‾C05≪総合ショップ≫
‾C00から入手可能。","Available for purchase 
from the ‾C05General Store‾C00."
36,"‾C05≪調合≫
‾C00することで入手可能。",Obtained from ‾C05Combining‾C00.
37,"‾C05≪総合ショップ≫
‾C00から入手可能。","Available for purchase 
from the ‾C05General Store‾C00."
38,"‾C05≪調合≫
‾C00することで入手可能。",Obtained from ‾C05Combining‾C00.
39,"‾C05≪総合ショップ≫
‾C00から入手可能。","Available for purchase 
from the ‾C05General Store‾C00."
40,"‾C05≪ＨＲ1〜4≫‾C00の
‾C05≪ブルファンゴ≫≪アプトノス≫
‾C00から入手可能。","Found in ‾C05[HR 1-4] 
‾C00Carve from ‾C05Bullfango 
‾C00or ‾C05Aptonoth."
41,"‾C05≪調合≫
‾C00することで入手可能。",Obtained from ‾C05Combining‾C00.
42,"‾C05≪調合≫
‾C00することで入手可能。",Obtained from ‾C05Combining‾C00.
43,"‾C05≪調合≫
‾C00することで入手可能。",Obtained from ‾C05Combining‾C00.
44,"‾C05≪総合ショップ≫
‾C00から入手可能。","Available for purchase 
from the ‾C05General Store‾C00."
45,"‾C05≪総合ショップ≫
‾C00から入手可能。","Available for purchase 
from the ‾C05General Store‾C00."
46,"‾C05≪総合ショップ≫
‾C00から入手可能。","Available for purchase 
from the ‾C05General Store‾C00."
47,"‾C05≪マイガーデン≫‾C00や
‾C05≪クエスト中≫‾C00に‾C05≪肉焼き≫‾C00
することで入手可能。","Obtained from ‾C05My Garden ‾C00or 
Roasting meat during 
a quest."
48,"‾C05≪マイガーデン≫‾C00や
‾C05≪クエスト中≫‾C00に‾C05≪肉焼き≫‾C00
することで入手可能。","Obtained from ‾C05My Garden ‾C00or 
Roasting meat during 
a quest."
49,"‾C05≪マイガーデン≫‾C00や
‾C05≪クエスト中≫‾C00に‾C05≪肉焼き≫‾C00
することで入手可能。","Obtained from ‾C05My Garden ‾C00or 
Roasting meat during 
a quest."
50,"‾C05≪マイガーデン≫‾C00や
‾C05≪クエスト中≫‾C00に‾C05≪肉焼き≫‾C00
することで入手可能。","Obtained from ‾C05My Garden ‾C00or 
Roasting meat during 
a quest."
51,"‾C05≪調合≫
‾C00することで入手可能。",Obtained from ‾C05Combining‾C00.
52,"‾C05≪調合≫
‾C00することで入手可能。",Obtained from ‾C05Combining‾C00.
53,"‾C05≪調合≫
‾C00することで入手可能。",Obtained from ‾C05Combining‾C00.
54,"‾C05≪調合≫
‾C00することで入手可能。",Obtained from ‾C05Combining‾C00.
55,"‾C05≪調合≫
‾C00することで入手可能。",Obtained from ‾C05Combining‾C00.
56,"‾C05≪調合≫
‾C00することで入手可能。",Obtained from ‾C05Combining‾C00.
57,"‾C05≪よろず焼きセット≫‾C00で
魚を焼くことで入手可能。","Obtained by cooking fish 
with a ‾C05Universal BBQ Set‾C00."
