index,source,target
0,何も装備していない。{j}{j},Nothing equipped.{j}{j}
1,新米ハンターでも扱える大剣。{j}多数のモンスターをなぎ払う{j}ことが可能な武器。,Great Sword with which even{j}beginners can mow down{j}masses of monsters.
2,新米ハンターでも扱える大剣。{j}多数のモンスターをなぎ払う{j}ことが可能な武器。,Great Sword with which even{j}beginners can mow down{j}hordes of monsters.
3,より純度の高い鉄を精製し、{j}攻撃力を強化した大剣。{j}後の強化で様々な派生をする。,Made with purer iron for a{j}more deadly attack. Various{j}modifications can be made.
4,顔を持つ大剣。伝説によれば{j}主を救う為に戦ったアイルー{j}の魂が込められているという。,A Great Sword with a face.{j}Said to hold the soul of a {j}cat who died for its owner.
5,地上において並ぶもの無しと{j}される一振り。{j}まごうことなき名刀。,Nothing can resist a sweep{j}from this mighty blade. Its{j}quality is unmistakeable.
6,より純度の高い鉄を精製し、{j}攻撃力を強化した大剣。{j}後の強化で様々な派生をする。,Made with purer iron for a{j}more deadly attack. Various{j}modifications can be made.
7,灼熱の蒼い炎をまとった大剣。{j}荒ぶる煌きに魅入られた者は、{j}例外なくその刃の餌食となる。,Those entranced by this{j}Great Sword's glow are sure{j}sure to be its next victims.
8,鉤爪状の刃が飛び出す鉄大剣。{j}普段は刀身の中に収納されて{j}いる。開発途上品。,Great Sword with a claw that{j}can be retracted. This piece{j}is still in development.
9,ブレイズブレイド強化版。{j}この剣を扱えるのであれば、{j}飛竜類さえおそれる事は無い。,An upgraded Ravager Blade.{j}Even Flying Wyverns should{j}fear this brutal weapon.
10,東方伝来の加工技術の剣。{j}丹念に加工された刃は強靭で、{j}粘りがある。手入れは重要。,"Lovingly made oriental{j}sword. Its firm, sticky{j}blade needs a lot of upkeep."
11,東方伝来の加工技術の剣。{j}丹念に加工された刃は強靭で、{j}粘りがある。手入れは重要。,"Lovingly made oriental{j}sword. Its firm, sticky{j}blade needs a lot of upkeep."
12,東方伝来の加工技術の剣。{j}丹念に加工された刃は強靭で、{j}粘りがある。手入れは重要。,"Lovingly made oriental{j}sword. Its firm, sticky{j}blade needs a lot of upkeep."
13,鉄刀の工房オリジナル強化品。{j}刀身の背に牙を用いて、斬撃{j}時に深手をあたえる刀に改造。,"An upgrade on the iron{j}original, the blade now has{j}a row of teeth on it."
14,鉄刀の工房オリジナル強化品。{j}刀身の背に牙を用いて、斬撃{j}時に深手をあたえる刀に改造。,"An upgrade on the iron{j}original, the blade now has{j}a row of teeth on it."
15,鉄刀の工房オリジナル強化品。{j}刀身の背に牙を用いて、斬撃{j}時に深手をあたえる刀に改造。,"An upgrade on the iron{j}original, the blade now has{j}a row of teeth on it."
16,骨刀強化版。{j}薬品加工を施された骨刀。{j}鋭い虫の羽が、刃となる。,An upgraded Bone Katana with{j}medicinal properties and a{j}blade made of insect wings.
17,骨刀強化版。{j}薬品加工を施された骨刀。{j}鋭い虫の羽が、刃となる。,An upgraded Bone Katana with{j}medicinal properties and a{j}blade made of insect wings.
18,盾の役割を果たす大剣。{j}防御に重点を置いたつくりで、{j}防御力上昇特性がある。,"Great Sword that also acts{j}as a shield, boosting the{j}Defense of the bearer."
19,落日の色に染まる飛竜刀。{j}朱く強靭な刃は一太刀ごとに、{j}熱波と爆炎の洗礼を見舞う。,Blood red blade that gives{j}its victims a vicious {j}baptism of fire.
20,盾の役割を果たす大剣。{j}防御に重点を置いたつくりで、{j}防御力上昇特性がある。,"Great Sword that also acts{j}as a shield, boosting the{j}Defense of the bearer."
21,斬れ味は良くないが、攻撃力{j}に特化した斧剣。強化で特殊{j}な成長を遂げる。大器晩成型。,"It isn't very sharp, but{j}this axe-like blade has been{j}built for raw power."
22,雌火竜の素材を用いて作られ{j}た深緑の飛竜刀。高い鋭さと、{j}威力を両立した業物である。,Deep-green blade made from{j}Rathian parts. Boasts great{j}sharpness and power.
23,斬れ味は良くないが、攻撃力{j}に特化した斧剣。強化で特殊{j}な成長を遂げる。大器晩成型。,"It isn't very sharp, but{j}this axe-like blade has been{j}built for raw power."
24,骨製の斧剣。その塊の大きさ{j}ゆえ、斬るというよりも叩き{j}潰すといった感覚に近い。,A bone halberd. It doesn't{j}cut its victims so much as{j}crush them to a pulp.
25,骨製の斧剣。その塊の大きさ{j}ゆえ、斬るというよりも叩き{j}潰すといった感覚に近い。,A bone halberd. It doesn't{j}cut its victims so much as{j}crush them to a pulp.
26,鎌の形態をとり、飛竜類を{j}一刀両断する死神の大鎌。{j}薬品加工。,Large sickle that can slice{j}a Flying Wyvern in two.{j}Has medicinal properties.
27,鎌の形態をとり、飛竜類を{j}一刀両断する死神の大鎌。{j}薬品加工。,Large sickle that can slice{j}a Flying Wyvern in two.{j}Has medicinal properties.
28,鉄と実力を二分する骨剣。{j}多数のモンスターをなぎ払う{j}ことが可能な武器。,Powerful bone sword that{j}balances power with iron{j}usage. Mows down monsters.
29,鉄と実力を二分する骨剣。{j}多数のモンスターをなぎ払う{j}ことが可能な武器。,Powerful bone sword that{j}can slice through iron. Mows{j}down hordes of monsters.
30,モンスターの爪や牙を利用{j}して攻撃力を強化した大剣。{j}後の強化で３系統に派生する。,A Great Sword upgraded{j}using monster parts. Can be{j}improved in three ways.
31,骨刀強化版。{j}薬品加工を施された骨刀。{j}鋭い虫の羽が、刃となる。,A Great Sword upgraded{j}using monster parts. Can be{j}improved in three ways.
32,モンスターの爪や牙を利用{j}して攻撃力を強化した大剣。{j}後の強化で３系統に派生する。,A Great Sword upgraded{j}using monster parts. Can be{j}improved in three ways.
33,骨剣に頑強な盾蟹の殻を{j}組み合わせた殻大剣。{j}安定した斬れ味を得た。,Combines a bone sword with a{j}Hermitaur shell. Retains its{j}sharpness very well.
34,大型の骨から強化される大剣。{j}重量で破壊力を得る骨大剣で、{j}これを扱えるなら一人前。,"A Great Sword reinforced{j}with a large bone. A very{j}heavy, destructive weapon."
35,ゴーレムブレイド強化版。{j}モンスターの体液で、骨材と{j}甲殻とをつなぎ合わせた逸品。,An upgraded Golem Blade.{j}Monster fluids are used to{j}join the shell to the blade.
36,ゴーレムブレイド最終強化版。{j}薬品加工でより斬れ味が上昇。{j}雌雄関係にある剣が存在する。,The ultimate Golem Blade.{j}A chemically sharpened sword{j}that's said to have a twin.
37,伝説の龍殺しの大剣。{j}〜雄志を以て我を振るう者{j}　　龍鱗を薄衣と為さん　〜,"A blade said to have slain{j}a dragon.  ""My power is only{j}revealed to true heroes."""
38,巨大なハサミを加工した大剣。{j}楔の如き爪は、頑丈な鱗すら{j}引きちぎり、肉を食い破る。,Made from huge pincers with{j}wedge-like teeth that can{j}chomp through anything.
39,骨加工の特徴である属性強化。{j}剣を振ったときに、ヒレの刃{j}から高圧縮の水が出る。,"This bone sword's blade is{j}made from a fin, and sprays{j}water at high pressure."
40,斬れ味鋭い、蒼き甲殻剣。{j}最も良質なブレードのみ、{j}その刃先に利用される。,Sharp sword made from a red{j}shell. Its blade is made of{j}only the best materials.
41,骨加工の特徴である属性強化。{j}剣を振ったときに、ヒレの刃{j}から高圧縮の水が出る。,"This bone sword's blade is{j}made from a fin, and sprays{j}water at high pressure."
42,雄火竜リオレウスの翼を模し{j}てつくられた大剣。火炎袋に{j}より発火作用が得られる。,Great Sword designed to look{j}like a Rathalos wing. Fitted{j}with combustible Flame Sacs.
43,雄火竜リオレウスの翼を模し{j}てつくられた大剣。火炎袋に{j}より発火作用が得られる。,Great Sword designed to look{j}like a Rathalos wing. Fitted{j}with combustible Flame Sacs.
44,大剣としての機能は果たして{j}いない錆びた武器。{j}結晶研磨加工していくと…。,"A rusty weapon, of no use as{j}a Great Sword. Try polishing{j}it with a crystal..."
45,大剣としての機能は果たして{j}いない錆びた武器。{j}結晶研磨加工していくと…。,"A rusty weapon, of no use as{j}a Great Sword. Try polishing{j}it with a crystal..."
46,斬れ味鋭い、蒼き甲殻剣。{j}最も良質なブレードのみ、{j}その刃先に利用される。,Sharp sword made from a red{j}shell. Its blade is made of{j}only the best materials.
47,工房では精製できない金属で{j}できており、現在研究対象物{j}として取り扱われている。,Made from a metal that can't{j}be refined. The subject of{j}much recent research.
48,ただの骨。武器とは言い難い。{j}{j},An ordinary bone. It can't{j}really be considered as{j}a weapon.
49,幾百の暦を経た龍木刀。{j}〜龍ヨリ生マレシ古木ノ心{j}　アマネク命全テヲ封ズル〜,"A blade with a long history.{j}""All that is born of dragon{j}is sealed in ancient wood."""
50,老山龍の角と紅蓮石を熱融合{j}させてつくられた逸品。{j}龍殺しの武器の１つである。,Rare sword made by fusing a{j}Firestone and Lao Shan horn.{j}A dragon-slaying weapon.
51,老山龍の角と紅蓮石を熱融合{j}させてつくられた逸品。{j}龍殺しの武器の１つである。,Rare sword made by fusing a{j}Firestone and Lao Shan horn.{j}A dragon-slaying weapon.
52,ドスランポスの鋭い爪を利用{j}した、ブレイズブレイドの亜{j}流品。蛇の頭を模した大剣。,An advanced Ravager Blade{j}made using a Velocidrome's{j}sharp claw. Snake-like.
53,二種類のディアブロスの素材{j}を混ぜた斧大剣。その一撃は、{j}大地を割り、大山を崩す。,Made with materials from two{j}types of Diablos. Capable of{j}smashing through mountains.
54,ドスランポスの鋭い爪を利用{j}した、ブレイズブレイドの亜{j}流品。蛇の頭を模した大剣。,An advanced Ravager Blade{j}made using a Velocidrome's{j}sharp claw. Snake-like.
55,扱い次第で強力な威力を得る。{j}溜め攻撃は目を見張る威力！{j}武器によるガードは無い。,"Its power depends on how it{j}is handled, and its charged{j}attacks are truly brutal."
56,扱い次第で強力な威力を得る。{j}溜め攻撃は目を見張る威力！{j}武器によるガードは無い。,"Its power depends on how it{j}is handled, and its charged{j}attacks are truly brutal."
57,より純度の高い鉄を精製し、{j}攻撃力を強化した大槌。{j},A huge Hammer made with{j}purer iron for a more{j}
58,融点が異常に高い鉱物を使用。{j}熱した状態で振り回し、対象{j}を溶かすという恐ろしい鎚。,"powerful and deadly attack.{j}Fused together with an{j}expensive ore, it burns when{j}swung, melting its victims.{j}A huge Hammer made with{j}purer iron for a more{j}powerful and deadly attack."
59,より純度の高い鉄を精製し、{j}攻撃力を強化した大槌。{j},
60,鋼鉄の塊と呼ぶにふさわしい{j}巨大なハンマー。怪力自慢の{j}持つ鉄鎚といえよう。,
61,強力な突進を持つドスファン{j}ゴの素材を使用したハンマー。{j}東方由来の武器とされている。,
62,漆黒の角と真紅の角の競演。{j}この迫力は角竜の突進を思わ{j}せる。この破壊力の前には…。,
63,アイアンストライク最終強化{j}版。長き強化により、攻撃力{j}斬れ味ともに最大級。逸品。,
64,強化されたハリの実を仕込ん{j}だ鎚。溜め攻撃の際に中から{j}鉄針が飛び出す仕掛けがある。,
65,強化されたハリの実を仕込ん{j}だ鎚。溜め攻撃の際に中から{j}鉄針が飛び出す仕掛けがある。,
66,スパイクハンマー強化版。{j}高価なクリスタルを惜しげも{j}なく使用した贅沢な逸品。,
67,スパイクハンマー強化版。{j}高価なクリスタルを惜しげも{j}なく使用した贅沢な逸品。,
68,工房で使用していた魂の宿る{j}金床を、ハンマーに改造した{j}もの。斬れ味の安定は随一。,
69,毒の怪物と呼ばれ恐れられる、{j}異形の鎚。使用される毒物は、{j}通常の規格から外れた特注品。,
70,外形に改造を施し、空気抵抗{j}を少なくしたハンマー。形は{j}斧に近いが、打撃武器である。,
71,エビの殻を用いて作成され{j}たハンマー。わずかにではあ{j}るが水属性を持つ。,
72,外形に改造を施し、空気抵抗{j}を少なくしたハンマー。形は{j}斧に近いが、打撃武器である。,
73,グラビモスの甲殻を使用して{j}作られた、超重量の殻鎚。{j}その一撃は岩をも砕く。,
74,錨を模した巨大なハンマー。{j}海の漢の暑苦しい情熱が{j}いっぱい詰まっている。,
75,ドドブランゴの素材を使用し{j}たハンマー。振るう度に噴き{j}出す冷気は魂さえも凍らせる。,
76,イャンガルルガの素材から作{j}られた黒槌。強烈にしゃくれ{j}た嘴は圧倒的な破壊力を生む。,
77,毒性の性質を持つバサルモス{j}の甲殻を利用し、加工した鎚。{j}たまに獲物を毒状態にする。,
