index,source,target
0,装備無し,Nothing Equipped
1,アイアンソード,Iron Sword
2,アイアンソード改,Iron Sword+
3,バスターソード,Buster Sword
4,ソウルオブキャット,Cat's Soul
5,天下無双刀,Hellish Slasher
6,バスターブレイド,Buster Blade
7,ブルーウィング,Blue Wing
8,ブレイズブレイド,Ravager Blade
9,アッパーブレイズ,Lacerator Blade
10,鉄刀,Iron Katana
11,鉄刀【禊】,"Iron Katana ""Grace"""
12,鉄刀【神楽】,"Iron Katana ""Gospel"""
13,骨刀【狼牙】,"Bone Katana ""Wolf"""
14,骨刀【鮫牙】,"Bone Katana ""Shark"""
15,骨刀【竜牙】,"Bone Katana ""Dragon"""
16,黒刀【零ノ型】,Black Katana Mk.Ⅰ
17,黒刀【弐ノ型】,Black Katana Mk.Ⅱ
18,ディフェンダー,Defender
19,飛竜刀【朱】,"Wyvern Blade ""Azure"""
20,センチネル,Sentinel
21,ハルバード,Halberd
22,飛竜刀【青葉】,"Wyvern Blade ""Leaf"""
23,ジャッジメント,Judgment
24,エクスキューション,Execution
25,エクスキューション改,Execution+
26,ダークサイス,Dark Scythe
27,ダークトーメント,Dark Torment
28,ボーンブレイド,Bone Blade
29,ボーンブレイド改,Bone Blade+
30,アギト,Jawblade
31,黒刀【参ノ型】,Black Katana Mk.Ⅲ
32,リュウノアギト,Wyvern Jawblade
33,レッドストライプ,Red Stripe
34,ゴーレムブレイド,Golem Blade
35,ヴァルキリーブレイド,Valkyrie Blade
36,ジークリンデ,Sigelinde
37,ドラゴンキラー,Dragon Killer
38,レッドシザー,Red Scissor
39,フィンブレイド,Fin Blade
40,ギザミブレイド,Ceanataur Blade
41,水剣ガノトトス,Plesioth Watersword
42,レッドウィング,Red Wing
43,炎剣リオレウス,Rath Blaze Sword
44,凄くさびた大剣,Rusted G-Sword
45,さびた大剣,Tarnished G-Sword
46,ブルークロウブレイド,Blue Claw Blade
47,エンシェントプレート,Ancient Blade
48,骨,Bone
49,龍木ノ太刀,Dragonwood L.Sword
50,龍刀【焔】,Fire Dragonsword
51,龍刀【紅蓮】,Red Dragonsword
52,蛇剣【蒼蛇】,Azure Serpentblade
53,ダブルブロスソード,Diablos Sword
54,蛇剣【大蛇】,Vile Serpentblade
55,アイアンハンマー,Iron Hammer
56,アイアンハンマー改,Iron Hammer+
57,ウォーハンマー,War Hammer
58,溶解鎚,Torment Hammer
59,ウォーメイス,War Mace
60,アイアンストライク,Iron Striker
61,ブルヘッドハンマー,Blue Head Hammer
62,ツインブロスハンマー,Twin Blos Hammer
63,アイアンインパクト,Iron Impact
64,スパイクハンマー,Spike Hammer
65,スパイクハンマー改,Spike Hammer+
66,クリスタルロック,Crystal Hammer
67,クリスタルノヴァ,Crystal Nova
68,アンヴィルハンマー,Anvil Hammer
69,ヴェノムモンスター,Venom Monster
70,ボーンアクス,Bone Axe
71,ロブスタンプ,Lobstrosity
72,ブロードボーンアクス,Blood Bone Axe
73,ギガントハンマー,Gigaton Hammer
74,イカリハンマーＦ,Anchor Hammer F
75,コーンヘッドハンマー,Combat Hammer
76,スイ【烏】,Raven Torrent
77,グラビィトンハンマー,Graviton Hammer
78,ボーンハンマー,Bone Hammer
79,ボーンハンマー改,Bone Hammer+
80,サイクロプスハンマー,Cyclops Hammer
81,龍頭蓋棍,Dragonhead Hammer
82,アトラスハンマー,Atlas Hammer
83,スカルクラッシュ,Skull Crush
84,スカルクラッシュ改,Skull Crush+
85,クックジョー,Kut-Ku Jaw
86,グレートコーン,Great Cone
87,ギガントハンマー改,Gigaton Hammer+
88,バサルブロウ,Basarios Blow
89,ブロステイル,Blos Tail
