index,source,target
0,装備無し,Nothing Equipped
1,クロスボウガン,Cross Bowgun
2,クロスボウガン改,Cross Bowgun+
3,カンタロスガン,Hornet Gun
4,ヴァルキリーファイア,Valkyrie Fire
5,スパルタカスファイア,Spartacus Fire
6,ショットボウガン・蒼,Shotgun (Azure)
7,ショットボウガン・碧,Shotgun (Green)
8,ショットボウガン・紅,Shotgun (Blood)
9,メイルシュトローム,Maelstrom
10,デザートストーム,Desert Storm
11,グレネードボウガン,Grenade Launcher
12,タイタングレネード,Titan Launcher
13,アルバレスト,Arbalest
14,アルバレスト改,Arbalest+
15,タンクメイジ,Tankmage
16,ラピッドキャスト,Rapidcaster
17,クイックキャスト,Quickcaster
18,メテオキャノン,Meteor Cannon
19,青イャンクック砲,Blue Kut-Ku Cannon
20,カホウ【烏】,Raven Heirloom
21,老山龍砲,Lao-Shan Lung Cannon
22,インジェクションガン,Injection Gun
23,ラストニードル,Last Needle
24,鬼ヶ島,Demonlock
25,ショットボウガン・白,Shotgun (White)
26,グラビモスロア,Gravios Roar
27,超イャンクック砲,Mega Kut-Ku Cannon
28,Ｓ・クロスボウガン,S.Cross Bowgun
29,ハートヴァルキリー,Valkyrie Heart
30,ヴァルキリーブレイズ,Valkyrie Blaze
31,ハートヴァルキリー改,Valkyrie Heart+
32,ゴールドヴァルキリー,Gold Valkyrie
33,ソウルスパルタカス,Spartacus Soul
34,スパルタカスブレイズ,Spartacus Blaze
35,ソウルスパルタカス改,Spartacus Soul+
36,シルバースパルタカス,Silver Spartacus
37,紅碧の対弩,Crimson Blue
38,蒼桜の対弩,Azure Sakura
39,ウラノスグレネード,Uranos Grenade
40,蒼桜の対弩・覇,Supreme Azure Sakura
41,繚乱の対弩,Profusion
42,バレットシャワー・蒼,Aqua Blade Shower
43,バレットシャワー・碧,Green Blade Shower
44,バレットシャワー・紅,Crimson Blade Shower
45,レインバレッツ・白,Bullet Storm
46,メイルシュトローム改,Maelstrom+
47,サンドフォール,Sandfall
48,デザートテンペスト,Desert Tempest
49,サンドフォール改,Sandfall+
50,グレネードボウガン改,Grenade Launcher+
51,タイタングレネード改,Titan Launcher+
52,クロノスグレネード,Chronos Grenade
53,クックアンガー,Kut-Ku Anger
54,クックレイジ,Kut-Ku Rage
55,クロオビボウガン,Black Belt Bowgun
56,タツジンボウガン,Expert Bowgun
57,神ヶ島,Island of the Gods
58,ダークフリルパラソル,Dark Parasol
59,パールフリルパラソル,Angel Parasol
60,ピンクフリルパラソル,Sakura Parasol
61,Ｓ・アルバレスト,S.Arbalest
62,タンクメイジ改,Tankmage+
63,バストンメイジ,Bastionmage
64,クイックキャスト改,Quickcaster+
65,デュエルキャスト,Duelcaster
66,デュエルキャスト改,Duelcaster+
67,モノデビルキャスト,Monodevilcaster
68,モノデビルキャスト改,Monodevilcaster+
69,メテオバスター,Meteor Buster
70,ヴォルキャノン,Vor Cannon
71,ディスティハーダ,Destiny's Hand
72,イャンクック砲,Mega Kut-Ku Cannon
73,老山龍砲・覇,Supreme Lao-Shan Cannon
74,老山龍砲・皇,Emperor Lao-Shan Cannon
75,ハニーコーマー,Honeycomber
76,グラビモスハウル,Gravios Howl
77,三眼の獅子筒,Golden Lion
78,ハンターボウ賕,Hunter Bow III
79,ワイルドボウ賕,Wild Bow III
80,パワーワイルドボウ賖,Power Wild Bow II
81,クイーンブラスター賖,Queen Blaster II
82,ハートショットボウ賖,Heart Shot Bow II
83,プロミネンスボウ賖,Prominence Bow II
84,ソニックボウ賕,Sonic Bow III
85,ブロスホーンボウ賖,Blos Horn Bow II
86,龍弓【山崩】,Dragon Bow【Landslide】
87,勇気と希望の凄弓賖,Courageous Hope II
88,龍弓【日輪】,Dragon Bow【Sunflower】
89,殲滅と破壊の剛弓貤,Annihilation Bow I
90,勝利と栄光の勇弓,Victory＆Glory Bow
91,ウラナイランプ,Blessed Lamp
92,ド【烏】,Raven Do
93,テイルストリング,Tail String
94,ラージャンデグ,Rajang Barrage
95,火竜弩,Fire Wrath
96,エビィーガン,Lobster Gun
97,ジェイドストーム,Jade Storm
98,デルフ＝ダオラ,Daora's Delphinidae
99,カホウ【狼】,Wolf Heirloom
100,バスタークラブ,Buster Crab
101,ガオレンスフィア,Gaoren's Fire
102,ロックイーター,Rock Eater
103,ジェイドテンペスト,Jade Tempest
104,キングエビィーガン,King Lobster Gun
105,ド【狼】,Wolf Do
106,龍弓【月輪】,Dragon Bow【Full Moon】
107,パワーハンターボウ賖,Power Hunter Bow II
108,ハンターボウ貤,Hunter Bow I
109,ハンターボウ賖,Hunter Bow II
110,ワイルドボウ貤,Wild Bow I
111,ワイルドボウ賖,Wild Bow II
112,パワーワイルドボウ貤,Power Wild Bow I
113,クイーンブラスター貤,Queen Blaster I
114,ハートショットボウ貤,Heart Shot Bow I
115,プロミネンスボウ貤,Prominence Bow I
116,ソニックボウ貤,Sonic Bow I
117,ソニックボウ賖,Sonic Bow II
118,ブロスホーンボウ貤,Blos Horn Bow I
119,龍弓【国崩】,"Dragon Bow ""Uprising"""
120,勇気と希望の凄弓貤,Courageous Hope I
121,パワーハンターボウ貤,Power Hunter Bow I
122,龍頭琴,Dragon Head
123,マジナイランプ,Magic Lamp
124,リアル＝ダオラ,Real=Daora
125,アースイーター,Earth Eater
126,ヘビィバスタークラブ,Heavy Buster Crab
127,グラン＝ダオラ,Daora's Grande
128,ウィングボウ貤,Wing Bow I
129,ウィングボウ賖,Wing Bow II
130,ウィングボウ賕,Wing Bow III
131,ニクスファーボウ貤,Nix Farbow Ⅰ
132,ニクスファーボウ賖,Nix Farbow ⅠⅠ
133,グラキファーボウ,Icehide Bow
134,鳥幣弓貤,Kut-Ku Bow Ⅰ
135,鳥幣弓賖,Kut-Ku Bow Ⅱ
136,鳥幣弓賕,Kut-Ku Bow Ⅲ
137,青鳥幣弓,Blue Kut-Ku Bow
138,ハートレスバンデージ,Heartless Bandage
139,パワーサンド,Power Sand
140,ガノスプレッシャー,Pressurized Plesioth
141,スティンカー,Stinger
142,アイススロワー,Icethrower
143,クイックボウ,Quick Bow
144,フルフルボウ,Khezu Bow
145,オオバサミ貤,Oobasami Ⅰ
146,オオバサミ賖,Oobasami Ⅱ
147,オオバサミ賕,Oobasami Ⅲ
148,オオバサミ賙,Oobasami Ⅳ
149,ダミー（ＬＢ）,
150,アイルーラグドール,Felyne Ragdoll
151,メラルーラグドール,Melynx Ragdoll
152,アイルーヘルドール,Felyne Helldoll
153,メラルーヘルドール,Melynx Helldoll
154,テイルカタパルト,Tail Catapult
155,ピーチフリルパラソル,Peach Parasol
156,ナナホシ大砲,Ladybug Cannon
157,ナナ＝アズールカノン,Lunastra's Azul Cannon
158,テオ＝アーティレリ,Teostra's Artillery
159,ナナホシ天砲,Seven Stars
160,ハンターボウ賙,Hunter Bow Ⅳ
161,ワイルドボウ賙,Wild Bow Ⅳ
162,パワーハンターボウ賕,Power Hunter Bow Ⅲ
163,クイーンブラスター賕,Queen Blaster Ⅲ
164,プロミネンスボウ賕,Prominence Bow Ⅲ
165,テオ＝フランマルス,Teostra's Flames
166,レックスタンク,Tigrex Tank
167,轟弩【戦虎】,Tigrex Wargun
168,レックスハウル,Tigrex Howl
169,ダミー(ＨＢ),
170,轟砲【虎頭】,Tigrex Skull
171,ティガアロー貤,Tigre Arrow Ⅰ
172,ティガアロー賖,Tigre Arrow Ⅱ
173,覇弓レラカムトルム,Bow of the Wind God
174,ソニックボウ賙,Sonic Bow Ⅳ
175,タツジンボウガン改,Expert Bowgun+
176,ブリリアントボウ,Brilliant Bow
177,スティールレイヴン貤,Steel Raven Ⅰ
178,イーオスマッシュ,Eos Mash
179,スティールレイヴン賖,Steel Raven Ⅱ
180,スティールレイヴン賕,Steel Raven Ⅲ
181,老山龍砲・天,Heaven Lao-Shan Cannon
182,老山龍砲・地,Earth Lao-Shan Cannon
183,ソニックボウ𧶠,Sonic Bow Ⅴ
184,オオバサミ𧶠,Mackerel V
