index,source,target
0,装備無し,
1,どんぐりネコヘルム,
2,レイアネコヘルム,
3,レウスネコヘルム,
4,ディアネコヘルム,
5,レックスネコヘルム,
6,アカムネコサクパケ,
7,ファンゴネコマスク,
8,ギルドネコロボス,
9,ボーンネコヘルム,
10,アロイネコヘルム,
11,フルフルネコキャップ,
12,キリンネコホーン,
13,黒子ネコノ面隠,
14,クックネコマスク,
15,クシャナネコアンク,
16,カイザーネコペリュク,
17,ガノスネコキャップ,
18,ブルーネコマスク,
19,ハートネコヘルム,
20,ルナネコヘルム,
21,チャームネコキャップ,
22,ソウルネコヘルム,
23,ソルネコヘルム,
24,荒くれネコヘルム,
25,ヒスイネコキャップ,
26,エスピネコヘルム,
27,カクトスネコヘルム,
28,ペルレネコヘルム,
29,ヒプノネコヘルム,
30,七色ネコヘルム,
31,銀色ネコヘルム,
32,ヴォルネコマスク,
33,マグマネコマスク,
34,ベルネコヘルム,
35,ホープネコキャップ,
36,ゴゴネコヘルム,
37,バンデネコキャップ,
38,天日ネコ鉢巻・赤,
39,天日ネコ鉢巻・青,
40,天日ネコ鉢巻・黒,
41,天日ネコ鉢巻・白,
42,ダオラネコアンク,
43,ヴァシムネコヘルム,
44,ジェビアネコヘルム,
45,ベルドラネコヘルム,
46,神楽ネコ【鉢金】,
47,神座ネコ【鉢金】,
48,テンロウネコマスク,
49,レグヌムネコヘッド,
50,ネコのしましま帽,
51,つっぱりネコヘッド,
52,ロロネコヘルム,
53,レイネコヘルム,
54,エンプレネコペリュク,
55,ステイルネコヘルム,
56,たるネコのあたま,
57,ソラダケネコキャップ,
58,モモダケネコキャップ,
59,赤原礼装ネコヘルム,
60,騎士王ネコヘルム,
61,ガニアネコヘッド,
62,ペンペンネコヘッド,
63,東装ネコ面・天晴,
64,東装ネコ面・北国,
65,東装ネコ面・奥羽,
66,東装ネコ面・江戸,
67,東装ネコ面・尾張,
68,東装ネコ面・浪速,
69,東装ネコ面・陰陽,
70,東装ネコ面・伊予,
71,東装ネコ面・筑紫,
72,ファルノネコヘッド,
73,アルテラネコヘッド,
74,ポカラネコヘッド,
75,カエルネコヘッド・緑,
76,カエルネコヘッド・桃,
77,麦わらネコ帽子・青,
78,麦わらネコ帽子・赤,
79,麦わらネコ帽子・黄,
80,アミネコヘッド,
81,ラヴィネコヘッド,
82,ラヴィネコヘッド：狂,
83,アビネコキャップ,
84,ギアネコキャップ,
85,ラパンネコキャップ,
86,お祭りネコハット,
87,ワンスネコヘルム,
88,青気球ネコヘッド,
89,ペリネコヘルム,
90,ラビンネコキャップ,
91,青たるネコのあたま,
92,グークネコマスク,
93,千代ネコノ髪飾,
94,エヴォネコヘルム,
95,Ｔ２６０Ｇヘッド,
96,軌跡ネコ髪飾・蒼,
97,軌跡ネコ髪飾・紅,
98,軌跡ネコ髪飾・暗,
99,軌跡ネコ髪飾・茜,
100,軌跡ネコ髪飾・菊,
101,軌跡ネコ髪飾・桜,
102,軌跡ネコ髪飾・空,
103,軌跡ネコ髪飾・宵,
104,軌跡ネコ髪飾・白,
105,軌跡ネコ髪飾・藤,
106,軌跡ネコ髪飾・陽,
107,軌跡ネコ髪飾・地,
108,薔薇の舞踏服ネコＨ,
109,救国の聖女ネコヘッド,
110,ロビンネコヘッド,
111,空き,
112,ラッピーネコマスク,
113,空き,
114,空き,
115,空き,
116,空き,
117,空き,
118,空き,
119,空き,
120,空き,
121,空き,
122,空き,
123,空き,
124,空き,
125,空き,
126,空き,
127,空き,
128,空き,
129,空き,
130,空き,
131,空き,
132,空き,
133,空き,
134,空き,
135,空き,
136,空き,
137,空き,
138,空き,
139,空き,
140,空き,
141,空き,
142,空き,
143,空き,
144,空き,
145,空き,
146,空き,
147,空き,
148,空き,
149,空き,
150,空き,
151,空き,
152,空き,
153,空き,
154,空き,
155,空き,
156,空き,
157,空き,
158,空き,
159,空き,
160,空き,
161,空き,
162,空き,
163,空き,
164,空き,
165,空き,
166,空き,
167,空き,
168,空き,
169,空き,
170,空き,
171,空き,
172,空き,
173,空き,
174,空き,
175,空き,
176,空き,
177,空き,
178,空き,
179,空き,
180,空き,
181,空き,
182,空き,
183,空き,
184,空き,
185,空き,
186,空き,
187,空き,
188,空き,
189,空き,
190,空き,
191,空き,
192,空き,
193,空き,
194,空き,
195,空き,
196,空き,
197,空き,
198,空き,
199,空き,
200,空き,
201,空き,
202,空き,
203,空き,
204,ダミー,
205,ダミー,
206,ダミー,
207,ダミー,
208,ダミー,
209,ダミー,
210,ダミー,
211,ダミー,
212,ダミー,
213,ダミー,
214,ダミー,
215,ダミー,
216,ダミー,
217,ダミー,
218,ダミー,
219,ダミー,
220,ダミー,
221,ダミー,
222,ダミー,
223,ダミー,
224,ダミー,
225,空き,
226,空き,
227,空き,
228,空き,
229,空き,
230,空き,
231,空き,
232,空き,
233,空き,
234,空き,
235,空き,
236,空き,
237,空き,
238,空き,
239,空き,
240,空き,
241,空き,
242,空き,
243,空き,
244,空き,
245,空き,
246,空き,
247,空き,
248,空き,
249,空き,
250,空き,
251,空き,
252,空き,
253,空き,
254,空き,
255,空き,
256,空き,
