index,source,target
0,%s「%s」,
1,"ちーっすニャ！
今日はどんなモンスターかニャ？",
2,"ひゅぅ〜！なんつーか、
狩り場って独特のフンイキある、みたいニャ？
さすがにブルっちまうニャ〜。",
3,"オレ様、参・上！
…って、お呼びでナイ系？
ニャハハ、冗談キツいニャ〜。",
4,"キターッ！モノホンの狩り場、キターッ！
やっぱ、なんでも本物なのニャ？
なんつーか、ガチで震えちゃう、みたいニャ？",
5,"わっ、ちょっ！置いて行かないでニャ！
一人にすっと、オレっち
何しでかすか分からんネコですからニャ…",
6,"ちょいちょい！その眼、カッコ良すぎニャ！
なんつーか、本当のオレが目覚めちまった、
みたいニャ？",
7,"ハンターってキツいっすニャ〜。
こんなオッカねー場所で狩りやって…。
つーか、オレっち…やってけるっすかニャ？",
8,"あんたの命令なら
何でも聞いちゃうニャ！
…ニャ？まず、モンスターの懐に、飛び込んで…
ちょっ！それマジウケる系の冗談ですニャ！",
9,"やべー、マジでブルっちゃう系ですニャ。
いや、ガチでブルブル系のアレですニャ。",
10,"おっ！こう見えて納品系はガチ得意ですニャ。
なんつーか、宝探しみたいで、
ガチでタノシイっすニャ！",
11,"おつかれしたーっニャ。
この爽快感、ガチでパネェっすニャ。
なんつーか、生きてるーっ、みたいニャ？",
12,"ニャ？やっとオレっちの才能に気づいた的ニャ？
しょーがないニャ〜…どうしてもってんなら、
また組んでも良い的ニャ？",
13,"おつかれっすニャ！
ちょっと、なんすかあのパネェ一撃っ！
オレっちを惚れさせるつもりっすかニャ？",
14,"さあさあ、お楽しみの時間ですニャ〜！
ゥニャッホゥーィ！",
15,"キタキターっ！キマくりニャ！
気分アゲアゲでイイ気持ちニャ！",
16,"やったニャ！
つーか、今日は祝杯ニャ！",
17,"オレっち、日に日にハンターらしくなってる
気がするニャ…。
なんつーか、ちょっと嬉しい、みたいニャ？",
18,"いぇーい、おっつーニャ！
マジ、あんたとの狩りは、
最高に楽しいっすニャ！",
19,"うひょぅ…。
あんたのガチな狩人ダマシイ…。
マジでグッと来たっすニャ！
一生ついて行くニャ！",
20,"おわったニャ〜！なんつーか、
次はデッカイの狩りたい、みたいニャ？",
21,"部位破壊に成功したっすニャ！
うにゃぁ！しびれるぅ〜！",
22,"部位破壊、キターッ！
つーか、よくなくないっすかニャ？",
23,"部位破壊、成・功！
いい感じにパーッとやって、ガーッと来て、
そんでもって…。
…え？ウルサイっすかニャ？",
24,"キタコレ！部位破壊、的ニャ？
報酬ザックザック系じゃないっすかニャ？",
25,"うっはー、部位破壊、大成功！
今夜はオレっちのオゴリだニャ！",
26,"部位破壊キターーーーーーーーーッ！
大事なことなんで、もう一回ニャ…。
部位破壊キターーーーーーーーーッ！",
27,"あちゃあ…なんつーか、調子悪い、的ニャ？
足引っ張っちゃうのはいただけないっすニャ…。",
28,"なぁに肩落としてんすかニャ！
諦めるとか、ガチで勘弁してほしいニャ！",
29,"チカラの差とか！装備の差とか！
マジでカンケーないっすニャ！
だって、あんたにはオレっちがいるからニャ！",
30,"ニャ！？逃げちゃったニャ…。
ニャハハ、どんなもんニャ！
オレっちにビビって逃げ出した、的ニャ？",
31,"逃げるとかありえないっすニャ。
…あ、いい考えがひらめいたニャ。
戻ってくるまでここで待つ、
ってのはどーっすかニャ？",
32,"オレっちここで待ってるんで、あんたは追って…
って、じょ、冗談っすニャ！
そんな怖い顔はナシにしてほしいっすニャ。",
33,"逃げたニャ！
けど、アイツの行く場所ならお見通しっすニャ！
すぐに追跡開始ニャ！",
34,"あれれっ！ずいぶん弱ってるニャ！
これはアレっすニャ、ヤマ場ってやつですニャ！",
35,"効いているニャ、効いてるニャ！
あともう少しでオシマイですニャ！",
36,"キターーーーーーーーーッ！
相手は相当弱っているニャ！
ここが正念場ですニャ！",
37,"おっと…かなり息が切れているニャ…。
でも油断は禁物ニャ…。
こういう時が、イチバン危ないっすニャ！",
38,"キタコレ！イイカンジ！
あんたとオレっちの、一撃でトドメといくニャ！",
39,"相手にもう余力はないっすニャ！
ほらほら！
ババンと決めちゃって下さいニャ！",
