index,source,target
0,"おお！？
こんなところで人間に出会うとは、
思ってもおらんかったわい。",
1,"なんじゃ、おぬしは。
なんかワシに用でもあるのか？
用もないのに、声をかけるんじゃない！",
2,"ところでじゃ、
ちょいとじじいの願いを聞いてもらえんかの？",
3,"そうじゃ！
ちょうどいいところでおぬしに会うたわい。",
4,"今、素材を集めておるが《||》が見つからないんじゃ…。
頼む、見つけて持ってきてくれんか？",
5,"今、《||》を
探しておるんじゃが、とんとみつからん。
ワシのために、探して取ってきてくれんかい？",
6,"《||》を探しとるんじゃが…
お願いじゃ、見つけて持ってきてくれ。
よろしく頼むじゃ。
お礼ははずむぞい。",
7,"なにをしておる！
《||》を早く持ってこんかい！",
8,"おお！！！
《||》を持ってきてくれたか！
お礼はするで、それをゆずってはくれぬか？",
9,"おお、《||》
それじゃ、それじゃ！
はよ、ワシにくれぬか。ほれ、早く！！",
10,"な、なんじゃと！？
なんてケチなハンターなんじゃ…。",
11,"な、なんじゃと！？
わしの頼みを断るハンターがおるとは…。",
12,"ホイ来た！
話のわかるヤツじゃ。
礼がわりじゃ。
ワシ自慢の一品を、持っていくがいい。
家宝にでもするのじゃ。",
13,"これじゃ、これじゃ！
おぬしもごくろう。
ほれ、これでもやるからまた、よろしく頼むぞ。",
14,"おおお！おぬし
《||》を持っとるではないか！
どうじゃ、ワシの《トッテオキ》と
交換する気はないかや？",
15,"ちょっと待つのじゃ！
《||》を持っとるではないか！
ワシの《オタカラ》と交換しようぞ！",
16,"ありがたい。
交渉成立じゃの。
ほれ、これがワシの《トッテオキ》じゃ。
交換してよかったの。",
17,"そうじゃろ、そうじゃろ。
ワシの《オタカラ》がほしいのじゃろ。
しょうがないのぉ、ほれ！
家宝にでもするのじゃぞ。",
18,"なんと、それは残念…。
気が変わったら、また声をかけてくれんか。",
19,"ケッ！
しけたやつじゃの…。
ほらっ、あっちへ行くのじゃ。",
20,"そうじゃ。
おぬしにこれをやろう。今日は、いろいろ
集めすぎて持ちきれなくなったんじゃわい。
大事に使っておくれ。",
21,"と、思ったが、気が変わったわい。
その貧乏そうな顔をみていたら、
かわいそうになったわ。",
22,,
23,"おぬしにはすぎたものかもしれんが、
これをやろう！感謝するのじゃ。",
24,"おお、なんじゃそれは？
そんな大きなモノは見たこと無いわい！！",
25,"おっと、おぬし！
すごいものを持っておるじゃないか！",
26,"ぐおぉぉ、そいつをワシに譲ってくれ！！
イヤとは言わさんぞい。
ほら、かわりにこれを持っていくのじゃ。",
27,"しょうがないのう。
ワシのこの《トッテオキ》と
交換してやろうかの。
特別じゃぞ、特別！！",
28,"あ〜ん？？
最近耳が遠くてのぉ〜。
こんな年寄りをからかうんじゃないよ。",
29,"おぬしも、ほんとにダメなハンターじゃの。
かわいそうで、涙がでてくるわい。
ワシにはなにもできないがの…",
30,"このナマケモノめ！
自分のことは、自分でする！！
ハンターの風上にもおけぬわい。",
31,"なんじゃ？？
まだ、そんなところにおったんか。
もうおぬしに用はないわい。",
32,"しつこいのう！！
おぬしの相手はもうできんのじゃ。
ほれ、シッシッシ！！",
33,"ワシの弟子にでもなりたいのか？
残念ながら、おぬしのような弟子は
取らないのじゃ。",
34,"今日は特別じゃ。
おぬしにトッテオキの情報をひとつ
教えてやろう。",
35,"そうじゃわい。
特別、おぬしだけに極秘情報を教えよう。
耳をかっぽじってよく聞くのじゃ。",
36,"明日のことは誰にもわからぬ…。
ワシの知っとることをおぬしに伝えておこう。",
37,"ワシは心優しいでな。
おぬしのためにひとつ
タメになる話でも、きかしてやろう。
心して聞くのじゃ。",
38,先日、釣りをしていたらお腹がふくれておる魚がおった。食べてみたら、なんと中からトンデモない物が出てきて、びっくりしたわい。,
39,強力な威力がある《タル爆弾》も、雨の日にはまるっきり使えない。そんな時には《爆雷針》が有効じゃ。覚えておくことじゃ。,
40,ハンターの基本じゃ。≪アオキノコ≫と≪太陽草≫の２つを調合することで、体力を回復させる≪回復薬≫の完成じゃ。体は大事にな。,
41,《落とし穴》といえど万能ではなく、どんな場所でも設置できるもんではない。そんなときには《シビレ罠》。時も場所も選ばない優れものじゃ！,
42,火力の強い《肉焼きセット》があって、短時間で《こんがり肉》ができあがるらしい。世の中には便利なモノがあるものじゃ。,
43,《３種調合》のいいところは、今まで《２種調合》を２回しなければできなかったものが、１回で可能になったところじゃ。,
44,《狩猟笛》という武器で奏でられる旋律の種類は数多く、その効果も多種多様じゃ。店で売っている《楽譜》にはその効果が載っており、笛使いのハンター必携のモノのようじゃ。,
45,世の中には、１つだけでは役に立たんが、３つ揃って初めて価値の出るものや、利用できるものがあるようじゃ。,
46,≪なぞの骨≫と≪石ころ≫の２つを調合することで、≪ボロピッケル≫ができあがる。貧乏なときには知っておくと助かるぞ。,
47,≪ババコンガ≫と呼ばれる、桃色の獣がおるんじゃが、いっつも器用に何かを尻尾に巻きつけとるんじゃよ。,
48,≪回復薬≫と≪ハチミツ≫を調合することで、回復能力があがった≪回復薬グレート≫を作ることができる。,
49,モンスターの中には、≪尻尾≫や≪頭部≫、体の一部を斬り落とせるヤツがおるのじゃ。そういったところほど貴重な素材になるだで狙ってみてはどうかの。,
50,メラルーの棲家には、人間たちから盗み取ったアイテムがたまっていることもあるようじゃ。やられっぱなしじゃくやしいのぉ。,
51,どんなに硬いモンスターにも有効な攻撃。それがタル爆弾じゃ！ただし取り扱いには、注意が必要じゃぞ！,
52,巨大モンスターの攻撃はプレイヤーにとって脅威じゃが、ランポスなどの小型モンスターにしても同じことじゃ。逆手に利用してやれば、全滅に追いやることもできよう。,
53,≪大地の結晶≫と、≪にが虫≫を調合することで、≪抗菌石≫なるアイテムを作ることができる。覚えておくがよいぞ。,
54,毒怪鳥≪ゲリョス≫という飛竜には、《閃光玉》は効かぬ。ヤツ自身が閃光を放つため、耐性があるようじゃな。,
55,≪ガノトトス≫と呼ばれ恐れられる水竜がおる。アヤツはな、カエルが好物なのじゃ。≪釣りカエル≫があれば豪快な一本釣りも夢ではないぞい。,
56,≪にが虫≫と、≪ハチミツ≫の２つを調合することで、調合素材として使える≪増強剤≫の完成じゃ。,
57,≪アオキノコ≫と、≪不死虫≫の２つを調合することで、体力の上限を上げる、≪栄養剤≫の完成じゃ。,
58,≪生命の粉≫と、≪竜の爪≫の２つを調合することで、範囲回復にも使用できる≪生命の粉塵≫の完成じゃ。,
59,≪鳴き袋≫と、≪爆薬≫の２つを調合することで、強烈な快音を発する≪音爆弾≫の完成じゃ。,
60,≪増強剤≫と、≪生焼け肉≫の２つを調合することで、スタミナが減らなくなる≪強走薬≫の完成じゃ。,
61,≪竜の牙≫と、≪カラの実≫の２つを調合することで、ボウガンの弾となる≪ＬＶ２散弾≫の完成じゃ。,
62,≪ハレツアロワナ≫と、≪カラ骨【小】≫の２つを調合することで、ボウガンの弾となる≪ＬＶ２徹甲榴弾≫の完成じゃ。,
63,≪竜の爪≫と、≪カラ骨【小】≫の２つを調合することで、ボウガンの弾となる≪ＬＶ２拡散弾≫の完成じゃ。,
64,≪火薬草≫と≪カラの実≫の２つを調合することで、ボウガンの弾となる≪火炎弾≫の完成じゃ。,
65,≪キレアジ≫と≪カラの実≫の２つを調合することで、ボウガンの弾となる≪水冷弾≫の完成じゃ。,
