index,source,target
0,None,
1,Novice,
2,Veteran,
3,Skilled Hunter,
4,Vagrant,
5,Stranger,
6,Ranger,
7,Rookie Hunter,
8,Woodsman,
9,Warden,
10,Beast Slayer,
11,Bone Duster,
12,Warrior,
13,Bullfighter,
14,Berserker,
15,Mercenary,
16,Bounty Hunter,
17,Veteran Attacker,
18,Iron Breaker,
19,Samurai,
20,Grand Walker,
21,Strider,
22,Explorer,
23,Forest Guardian,
24,Road of Hunter,
25,Glorious Braver,
26,Champion,
27,Hero,
28,Monster Hunter,
29,Legend,
30,Bourgeois Hunter,
31,Dedicated Hunter,
32,Combination Sage,
33,Gourmand,
34,Royal Host,
35,Popular,
36,Arm Wrestler,
37,Heavy Drinker,
38,Sniper,
39,Treasure Hunter,
40,Mayoral Candidate,
41,Velocidrome Hunter,
42,Gendrome Hunter,
43,Iodrome Hunter,
44,Bulldrome Hunter,
45,Kut-Ku Hunter,
46,Gypceros Hunter,
47,Cephadrome Hunter,
48,Rathian Hunter,
49,Khezu Hunter,
50,Plesioth Hunter,
51,Monoblos Hunter,
52,Diablos Hunter,
53,Basarios Hunter,
54,Gravios Hunter,
55,Rathalos Hunter,
56,Kirin Hunter,
57,Garuga Hunter,
58,Daimyo Hunter,
59,Shogun Hunter,
60,Blangonga Hunter,
61,Congalala Hunter,
62,Kushala Hunter,
63,Chameleos Hunter,
64,Teo Hunter,
65,Luna Hunter,
66,Blue Claws,
67,Green Fangs,
68,Red Poison,
69,Reckless,
70,Red Bird,
71,Flash,
72,Desert Sand,
73,Wyvern Princess,
74,White Shadow,
75,Torrent,
76,One-Horn,
77,Twin Demon,
78,Hidden Rock,
79,Flaming Mountain,
80,Monarch,
81,Thunder God,
82,Black Wolf,
83,Solid Shield,
84,Sharp Sword,
85,Strength,
86,Clown,
87,Storm,
88,Iridescence,
89,Flame Emperor,
90,Hellfire,
91,Gold,
92,Windstorm,
93,Walking Fortress,
94,Approaching Dragon,
95,Floating Mountain,
96,Dragon Killer,
97,Dragon King,
98,Dragon Emperor,
99,Capture God,
100,Giant,
101,Gigantic,
102,King of Kings,
103,Big King,
104,Master of Giants,
105,Titan,
106,Micro,
107,Minimum,
108,Chicken of Chicken,
109,Sword and Shield Maniac,
110,Greatsword Maniac,
111,Lance Maniac,
112,Hammer Maniac,
113,Dual Blade Maniac,
114,Light Bowgun Maniac,
115,Heavy Bowgun Maniac,
116,Longsword Maniac,
117,Bow Maniac,
118,Gunlance Maniac,
119,Hunting Horn Maniac,
120,Weapon Master,
121,Well Dressed,
122,Fashion Leader,
123,Dr. Mushroom,
124,Mushroom Master,
125,Egg Thief,
126,Crystal Hunter,
127,Danger Hunter,
128,Alpinist,
129,Mule,
130,Jungle Guide,
131,Desert Guide,
132,Swamp Guide,
133,Mountain Guide,
134,Volcano Guide,
135,Forest & Hills Guide,
136,Dojo Point Earner,
137,Dojo Coin Master,
138,Dojo High Scorer,
139,Dojo Teacher,
140,Dojo Instructor,
141,Beast Master,
142,Beast Failure,
143,Guild Knight,
144,Guild's Trumpcard,
145,Jumbo Hero,
146,Tavern Hero,
147,Hero of Dundorma,
148,Hypnoc Hunter,
149,Volganos Hunter,
150,Tigrex Hunter,
151,Akantor Hunter,
152,Espinas Hunter,
153,Akura Hunter,
154,Berukyurosu Hunter,
155,Pariapuria Hunter,
156,Kamu Hunter,
157,Nono Hunter,
158,Dyuragaua Hunter,
159,Gurenzeburu Hunter,
160,Rukodiora Hunter,
161,Gogomoa Hunter,
162,Deep Sleep,
163,Lava,
164,Roaring Tiger,
165,Overlord,
166,Awakening,
167,Metamorphosis,
168,Thunder,
169,Binge Eater,
170,Twin Fangs,
171,Twin Roars,
172,Ice Attack,
173,Waterfall,
174,Two Poles,
175,Leaping Shadow,
176,King's Fang,
177,Phantom Hunter,
178,Impulses,
179,Great Forest Guide,
180,Canyon Guide,
181,Highlands Guide,
182,Tidal Island Guide,
183,Familial Love,
184,Hunter of Legend,
185,Sword & Shield User,
186,Dual Swords User,
187,Great Sword User,
188,Long Sword User,
189,Hammer User,
190,Hunting Horn User,
191,Lance User,
192,Gunlance User,
193,Light Bowgun User,
194,Heavy Bowgun User,
195,Bow User,
196,Guild's Mascot,
197,Guild Member,
198,Abiorugu Hunter,
199,Moody Person,
200,Zamuza Hunter,
201,Taikun,
202,Kuarusepusu Hunter,
203,Heavenly Force,
204,Unaffected,
205,Black Emperor,
206,Blue Flame Champion,
207,Cannon Emperor,
208,Desert Champion,
209,Supreme Drunk,
210,Hungry Champion,
211,Dark Overlord,
212,Phantom Champion,
213,Flame Overlord,
214,Flaming Champion,
215,Twin Overlord,
216,Double Champion,
217,Supreme Conqueror,
218,Spinner of Secrets,
219,Devoted Husband,
220,Innocence,
221,Funky,
222,Lightning in a Bottle,
223,Cunning,
224,Problem Solver,
225,Recluse,
226,Domination,
227,Hooligan,
228,Pushing Onwards,
229,Villain,
230,Three Foot Frost,
231,Nothingness,
232,Indomitable,
233,Storm of Stones,
234,Flash of Lightning,
235,Fearless,
236,All or Nothing,
237,Dreamchaser,
238,Flawless,
239,Mythology,
240,Polar Sea Guide,
241,Fighting Spirit,
242,Burning Rage,
243,Crimson,
244,Mysterious,
245,Splendour,
246,Lightbeam,
247,Ruinous Star,
248,Black Gold,
249,Solitary Struggle,
250,One Hundred Blossoms,
251,With a Single Blow,
252,Ruinous Flames,
253,Tonfa User,
254,Flower Field Guide,
255,Gorgeous,
256,Swift Thunder,
257,Sparkling,
258,Dazzling,
259,Grace,
260,Hero's Strength,
261,Antinomy,
262,Lord of Freezing Flame,
263,Finishing Touch,
264,Ruler of the Blue Flame,
265,Performer,
266,Supporter,
267,Extreme Ice,
268,Unstoppable Fortitude,
269,Burning Horns,
270,High Spirits,
271,Surging Fury,
272,Torrential Force,
273,Flowing,
274,Transmigration,
275,Transformation,
276,Two Sides of a Coin,
277,Quaking Thunder,
278,Ten Thousand Bolts,
279,White Lake Guide,
280,Floating Peak,
281,Ryorakinshu,
282,Absolute Ice,
283,Unchained,
284,Insatiable,
285,Survival of the Fittest,
286,Blasting,
287,Doing Your Best,
288,Making Progress,
289,Resplendent Grace,
290,Advancing Ice,
291,Bringer of Frost,
292,Moment of Violence,
293,Moment of Thirst,
294,Rockbreaker,
295,"Supreme Lustre ""Flash""",
296,"Supreme Lustre ""Shine""",
297,"Supreme Lustre ""Glory""",
298,"Supreme Lustre ""Clear""",
299,Master of Ultraviolence,
300,Snowstorm,
301,Freezing Winds,
302,Blunt Force,
303,Explosive Applause,
304,Master of Moonlight,
305,Imperial Majesty,
306,Majestic Ruler,
307,Sharp Speed,
308,Traceless Shadow,
309,Switch Axe User,
310,Calamitous Moment,
311,Asura,
312,Man-Eating Demon,
313,Cerberus,
314,Vigilant Wolf,
315,Ruling Conqueror,
316,I have a log!,
317,I love Salmon Roe,
318,I love Salmon,
319,This is a good log...,
320,Painted Falls Guide,
321,Sword Dancer,
322,Decisive Slice,
323,Calamity,
324,Spotless,
325,Poisonous Horn,
326,Burning Wings,
327,Immortal Shield,
328,Grotesque Face,
329,The Bird's Lullabye,
330,Master of Interception,
331,Crushing Arms,
332,Honorable Hunter,
333,Dazzling Tail,
334,Rending Claws,
335,Master of Speed,
