index,source,target
0,"た、助けに来てくれたのですかニャ！？
ありがとうですニャ。これはお礼ニャ。
どうか受け取って欲しいですニャ！",
1,"次は迷っても大丈夫なように、
多めに食べ物を持ってくるニャ。",
2,--,
3,"オイラを助けに…？
失礼な！オイラは別に迷ってないニャ！
一応お礼は渡すニャ。でも、オイラは絶対迷ってたんじゃないからニャ！",
4,"迷ってなんか、ないニャ！
出口の場所はだいたい分かってるのニャ！",
5,--,
6,"おや？お迎えかニャ？
調査に集中していたらだいぶ時間が経っていたみたいですニャ。申し訳ないですニャ。これをお渡しするニャ。",
7,"ワタシは調査を続けるので、
どうかおかまいなく。ですニャ！",
8,--,
9,"やっと助けが来てくれたニャ…。
暗くて寒くて、もう帰れないんじゃないかと
思ったニャ。これはお礼ですニャ。
本当に助かったニャ！",
10,"これで、やーっとお家に帰れるのニャ。
こんな暗くて寒い所はとっととオサラバニャ！",
11,--,
12,"まさか道に迷って出られなくなるとはニャ。
ハンターさんは命の恩人なのですニャ！
こんなものしかないけど受け取ってくれニャ！",
13,えーと…出口に行くには、まっすぐ行って次を左…あれ？右だったかニャ？,
14,--,
15,"助かったニャ…。
ここは地図がないから一度迷ったら
出られなくなってしまうニャ。
助けてくれたお礼をお渡しするニャ！",
16,"次はみんなと同じように地図を書きながら
調査を進めることにするニャ。",
17,--,
18,"迎えに来てくれて、どうもありがとニャ！
これで何とか帰ることができそうですニャ。
これは、こころばかりのお礼ですニャ！",
19,"調査で迷子になったら意味ないニャ。
ギルドはネコ使いが荒いのニャー。",
20,--,
21,"好奇心のまま進んでいたら、
迷子になってしまったのニャ。
助けに来てくれて、ありがとうニャ。
これを受け取ってほしいニャ！",
22,"見るもの全てがボクの好奇心をつかんで
離さないのニャー。",
23,--,
