index,source,target
0,Pallone Grand Voyage is underway!,
1,"パローネ大航祭は、専用の航路クエストを達成し
そこで得たスコアで順位を競います。
ＨＲＰやz(Ｇ級ならＧＲＰやＧz)を獲得できます。",
2,−,
3,−,
4,Conquest War is underway!,
5,"極限征伐戦は、1つのクエストを達成するたびに
難易度が上昇し、相応の報酬が獲得できます。
Ｇ級ハンターのみが受注可能なので注意です。",
6,Guild Conquest is underway!,
7,"残り時間　　　　　　　%02d:%02d:%02d
対象の極征モンスター　%s
支援条件　%s%2d%s
",
8,Hunter Fest is underway!,
9,"Hunter Fest is an event for Guilds.
Crimson and Azure Dragon teams compete on
having the most souls delivered.",
10,−,
11,−,
12,Hunting Competition is underway!,
13,"Hunting Competition is a series of events
for players to earn rewards relative to ranking.
Speedrun and Grand Fish Cup are available.",
14,−,
15,−,
16,Sky Corridor Expedition is underway!,
17,"天廊遠征録はＨＲ1から参加可能なイベントで、
部屋の様々な仕掛けやモンスターを攻略して
達成した階層に応じた報酬が獲得できます。",
18,−,
19,−,
20,Diva Defense is underway!,
21,"Diva Defense is available at HR2.
Decide on the Prayer Effects for the Server
and fight against the great threat.",
22,−,
23,−,
24,Mezeporta Fest is underway!,
25,"Mezeporta Fest is available at HR2.
Move to the exclusive world [MezFes]
and enjoy various minigames!",
26,−,
27,−,
