index,source,target
0,ダミー,
1,"あらゆるアクションによる
斬れ味の減少を無効化します。
また、斬れ味レベル+1の効果が発動します。",
2,"ボウガンの「反動値」と
「装填速度値」を低下させます。",
3,"斬属性以外の攻撃でも
モンスターの尻尾を切断できるようになります。",
4,"体力ゲージの赤い部分以外も自動的に回復します。
火事場力発動中は一定値以上の体力が必要です。
また、スタミナの回復速度が上昇します。",
5,"秘伝書の「地ノ型」を装備している場合、
モンスターに攻撃を当てた際、
モンスターをより怯ませやすくなります。",
6,"秘伝書の「天ノ型」を装備している場合、
モンスターに攻撃を当てた際、
モンスターをより怯ませやすくなります。",
7,"秘伝書の「嵐ノ型」を装備している場合、
モンスターに攻撃を当てた際、
モンスターをより怯ませやすくなります。",
8,"斬属性の武器で攻撃した時、
ダメージがより通りやすくなります。
ただし、属性ダメージは変化しません。",
9,"打属性の武器で攻撃した時、
ダメージがより通りやすくなります。
ただし、属性ダメージは変化しません。",
10,"弾属性の武器で攻撃した時、
ダメージがより通りやすくなります。
ただし、属性ダメージは変化しません。",
11,"モンスターが状態異常にかかった際の
持続時間が長くなります。",
12,モンスターが状態異常にかかりやすくなります。,
13,"肉質が一定値以上の部位に攻撃した時、
対象部位へのダメージが上昇します。
ただし、属性ダメージは変化しません。",
14,モンスターへの属性ダメージが増加します。,
15,"モンスターが戦闘状態の間、そのモンスターは
別のエリアに移動しなくなります。
瀕死状態や特定のモンスターには無効です。",
16,"ギルド貢献ポイントと交換できる
アイテムやスキルの品揃えが豊富になります。",
17,"クエストに参加しているプレイヤーキャラクター
の人数に応じて、攻撃力が上昇します。",
18,様々な保護系の効果が発動します。,
19,武器の会心率が上がります。,
20,火属性への耐性が上がります。,
21,水属性への耐性が上がります。,
22,氷属性への耐性が上がります。,
23,雷属性への耐性が上がります。,
24,龍属性への耐性が上がります。,
25,すべての属性への耐性が上がります。,
