index,source,target
0,装備無し,
1,レザーライトアーム,
2,チェーンアーム,
3,ハンターアーム,
4,ハンターガード,
5,ボーンアーム,
6,ボーンガード,
7,ランポスアーム,
8,ランポスガード,
9,バトルアーム,
10,バトルガード,
11,ランゴアーム,
12,ランゴガード,
13,タロスアーム,
14,タロスガード,
15,ハイメタアーム,
16,ハイメタガード,
17,ゲネポスアーム,
18,ゲネポスガード,
19,クックアーム,
20,クックガード,
21,イーオスアーム,
22,イーオスガード,
23,ゲリョスアーム,
24,ゲリョスガード,
25,ガレオスアーム,
26,ガレオスガード,
27,スティールアーム,
28,レイアアーム,
29,レイアガード,
30,フルフルアーム,
31,フルフルガード,
32,レウスアーム,
33,レウスガード,
34,ガノスアーム,
35,ガノスガード,
36,キングロブスタアーム,
37,キングロブスタガード,
38,バサルアーム,
39,バサルガード,
40,ディアブロアーム,
41,ディアブロガード,
42,モノブロスアーム,
43,モノブロスガード,
44,グラビドアーム,
45,グラビドガード,
46,クロオビアーム,
47,モスパンチ,
48,マカルパスリーブ,
49,ランポスーツハンド,
50,ゲネポスーツハンド,
51,イーオスーツハンド,
52,忍の篭手・陽,
53,忍の篭手・陰,
54,ガーディアンアーム,
55,ガーディアンガード,
56,ヘルパーカフス,
57,ヒーラーカフス,
58,ガルルガアーム,
59,ガルルガガード,
60,暁丸【篭手】,
61,曙丸【篭手】,
62,凛【篭手】,
63,艶【篭手】,
64,ドラゴンクロウ,
65,ドラゴンフィスト,
66,レザーライトＵアーム,
67,チェーンＵアーム,
68,ハンターＵアーム,
69,ハンターＵガード,
70,ボーンＵアーム,
71,ボーンＵガード,
72,ギアノスアーム,
73,ギアノスガード,
74,バトルＵアーム,
75,バトルＵガード,
76,ランゴＵアーム,
77,ランゴＵガード,
78,タロスＵアーム,
79,タロスＵガード,
80,ハイメタＵアーム,
81,ハイメタＵガード,
82,ゲネポスＵアーム,
83,ゲネポスＵガード,
84,クックＵアーム,
85,クックＵガード,
86,イーオスＵアーム,
87,イーオスＵガード,
88,ゲリョスＵアーム,
89,ゲリョスＵガード,
90,ガレオスＵアーム,
91,ガレオスＵガード,
92,スティールＵアーム,
93,リオハートアーム,
94,リオハートガード,
95,フルフルＵアーム,
96,フルフルＵガード,
97,リオソウルアーム,
98,リオソウルガード,
99,ガノスＵアーム,
100,ガノスＵガード,
101,バサルＵアーム,
102,バサルＵガード,
103,ディアブロＵアーム,
104,ディアブロＵガード,
105,モノデビルアーム,
106,モノデビルガード,
107,グラビドＵアーム,
108,グラビドＵガード,
109,忍の篭手・空,
