index,source,target
0,装備無し,
1,レザーライトメイル,
2,チェーンメイル,
3,ハンターメイル,
4,ハンターレジスト,
5,ボーンメイル,
6,ボーンレジスト,
7,ランポスメイル,
8,ランポスレジスト,
9,バトルメイル,
10,バトルレジスト,
11,ランゴメイル,
12,ランゴレジスト,
13,タロスメイル,
14,タロスレジスト,
15,ハイメタメイル,
16,ハイメタレジスト,
17,ゲネポスメイル,
18,ゲネポスレジスト,
19,クックメイル,
20,クックレジスト,
21,イーオスメイル,
22,イーオスレジスト,
23,ゲリョスメイル,
24,ゲリョスレジスト,
25,ガレオスメイル,
26,ガレオスレジスト,
27,スティールメイル,
28,レイアメイル,
29,レイアレジスト,
30,フルフルメイル,
31,フルフルレジスト,
32,レウスメイル,
33,レウスレジスト,
34,ガノスメイル,
35,ガノスレジスト,
36,キングロブスタシェル,
37,キングロブスタスキン,
38,バサルメイル,
39,バサルレジスト,
40,ディアブロメイル,
41,ディアブロレジスト,
42,モノブロスメイル,
43,モノブロスレジスト,
44,グラビドメイル,
45,グラビドレジスト,
46,クロオビメイル,
47,モスブレスト,
48,メルホアトロンコ,
49,マカルパペプラム,
50,ビストロベスト,
51,ランポスーツボディ,
52,ゲネポスーツボディ,
53,イーオスーツボディ,
54,忍の装束・陽,
55,忍の装束・陰,
56,ガーディアンスーツ,
57,ガーディアンベスト,
58,ヘルパーベスト,
59,ヒーラーベスト,
60,ガルルガメイル,
61,ガルルガレジスト,
62,暁丸【胴当て】,
63,曙丸【胴当て】,
64,凛【胸当て】,
65,艶【胸当て】,
66,ドラゴンハイド,
67,ドラゴンスキン,
68,レザーライトＵメイル,
69,チェーンＵメイル,
70,ハンターＵメイル,
71,ハンターＵレジスト,
72,ボーンＵメイル,
73,ボーンＵレジスト,
74,ギアノスメイル,
75,ギアノスレジスト,
76,バトルＵメイル,
77,バトルＵレジスト,
78,ランゴＵメイル,
79,ランゴＵレジスト,
80,タロスＵメイル,
81,タロスＵレジスト,
82,ハイメタＵメイル,
83,ハイメタＵレジスト,
84,ゲネポスＵメイル,
85,ゲネポスＵレジスト,
86,クックＵメイル,
87,クックＵレジスト,
88,イーオスＵメイル,
