index,source,target
0,装備無し,
1,レザーライトヘルム,
2,チェーンヘルム,
3,ハンターヘルム,
4,ハンターキャップ,
5,ボーンヘルム,
6,ボーンキャップ,
7,ランポスヘルム,
8,ランポスキャップ,
9,バトルヘルム,
10,バトルキャップ,
11,ランゴヘルム,
12,ランゴキャップ,
13,タロスヘルム,
14,タロスキャップ,
15,ハイメタヘルム,
16,ハイメタキャップ,
17,ゲネポスヘルム,
18,ゲネポスキャップ,
19,イーオスヘルム,
20,イーオスキャップ,
21,ゲリョスヘルム,
22,ゲリョスキャップ,
23,ガレオスヘルム,
24,ガレオスキャップ,
25,レイアヘルム,
26,レイアキャップ,
27,フルフルヘルム,
28,フルフルキャップ,
29,レウスヘルム,
30,レウスキャップ,
31,ガノスヘルム,
32,ガノスキャップ,
33,キングロブスタヘルム,
34,バサルヘルム,
35,バサルキャップ,
36,ディアブロヘルム,
37,ディアブロキャップ,
38,モノブロスヘルム,
39,モノブロスキャップ,
40,グラビドヘルム,
41,グラビドキャップ,
42,クロオビヘルム,
43,モスフェイク,
44,アイルーフェイク,
45,混沌のパオ,
46,メルホアフロール,
47,マカルパフード,
48,ビストロキャップ,
49,ランポスフェイク,
50,ゲネポスフェイク,
51,イーオスフェイク,
52,ブルファンゴフェイク,
53,レッドピアス,
54,ブルーピアス,
55,イエローピアス,
56,ブラックピアス,
57,忍の面・陽,
58,忍の面・陰,
59,ガーディアンヘルム,
60,ガーディアンマスク,
61,ヘルパーフード,
62,ヒーラーグラス,
63,スカルフェイス,
64,ガルルガヘルム,
65,ガルルガキャップ,
66,ガルルガフェイク,
67,暁丸【兜】,
68,曙丸【烏帽子】,
69,凛【鉢金】,
70,艶【鉢金】,
71,ドラゴンヘッド,
72,ドラゴンフェイス,
73,レザーライトＵヘルム,
74,チェーンＵヘルム,
75,ハンターＵヘルム,
76,ハンターＵキャップ,
77,ボーンＵヘルム,
78,ボーンＵキャップ,
79,ギアノスヘルム,
80,ギアノスキャップ,
81,バトルＵヘルム,
82,バトルＵキャップ,
83,ランゴＵヘルム,
84,ランゴＵキャップ,
85,タロスＵヘルム,
86,タロスＵキャップ,
87,ハイメタＵヘルム,
88,ハイメタＵキャップ,
89,ゲネポスＵヘルム,
90,ゲネポスＵキャップ,
91,イーオスＵヘルム,
92,イーオスＵキャップ,
93,ゲリョスＵヘルム,
94,ゲリョスＵキャップ,
95,ガレオスＵヘルム,
96,ガレオスＵキャップ,
97,リオハートヘルム,
98,リオハートキャップ,
99,フルフルＵヘルム,
100,フルフルＵキャップ,
101,リオソウルヘルム,
102,リオソウルキャップ,
103,ガノスＵヘルム,
104,ガノスＵキャップ,
105,バサルＵヘルム,
106,バサルＵキャップ,
107,ディアブロＵヘルム,
108,ディアブロＵキャップ,
109,モノデビルヘルム,
110,モノデビルキャップ,
111,グラビドＵヘルム,
112,グラビドＵキャップ,
113,忍の面・空,
114,忍の面・海,
115,ガーディアンＵヘルム,
116,ガーディアンＵマスク,
117,ヘルパーＵフード,
118,ヒーラーＵベレー,
119,暁丸・皇【兜】,
120,曙丸・皇【烏帽子】,
121,凛・皇【鉢金】,
122,艶・皇【鉢金】,
123,ミラバルカンヘッド,
124,ミラバルカンフェイス,
125,ゴールドルナヘルム,
126,ゴールドルナキャップ,
127,シルバーソルヘルム,
128,シルバーソルキャップ,
129,レザーライトＳヘルム,
130,チェーンＳヘルム,
131,ハンターＳヘルム,
132,ハンターＳキャップ,
133,ボーンＳヘルム,
134,ボーンＳキャップ,
135,ランポスＳヘルム,
136,ランポスＳキャップ,
137,バトルＳヘルム,
138,バトルＳキャップ,
139,ランゴＳヘルム,
140,ランゴＳキャップ,
141,タロスＳヘルム,
142,タロスＳキャップ,
143,ハイメタＳヘルム,
