index,source,target
0,装備無し,
1,グリーンジャージー,
2,ブルージャージー,
3,ハンターグリーヴ,
4,ハンターレギンス,
5,ボーングリーヴ,
6,ボーンレギンス,
7,ランポスグリーヴ,
8,ランポスレギンス,
9,バトルグリーヴ,
10,バトルレギンス,
11,シルバーメタルブーツ,
12,ランゴグリーヴ,
13,ランゴレギンス,
14,タロスグリーヴ,
15,タロスレギンス,
16,ハイメタグリーヴ,
17,ハイメタレギンス,
18,ダークメタルブーツ,
19,ゲネポスグリーヴ,
20,ゲネポスレギンス,
21,ピンクメタルブーツ,
22,クロムメタルブーツ,
23,イーオスグリーヴ,
24,イーオスレギンス,
25,ゲリョスグリーヴ,
26,ゲリョスレギンス,
27,ガレオスグリーヴ,
28,ガレオスレギンス,
29,レイアグリーヴ,
30,レイアレギンス,
31,フルフルグリーヴ,
32,フルフルレギンス,
33,レウスグリーヴ,
34,レウスレギンス,
35,ガノスグリーヴ,
36,ガノスレギンス,
37,バサルグリーヴ,
38,バサルレギンス,
39,ディアブログリーヴ,
40,ディアブロレギンス,
41,モノブロスグリーヴ,
42,モノブロスレギンス,
43,グラビドグリーヴ,
44,グラビドレギンス,
45,クロオビグリーヴ,
46,モスフット,
47,ランポスーツフット,
48,ゲネポスーツフット,
49,イーオスーツフット,
50,忍の足袋・陽,
51,忍の足袋・陰,
52,ガーディアンブーツ,
53,ガーディアンフット,
54,ヘルパーソックス,
55,ヒーラーソックス,
56,ガルルガグリーヴ,
57,ガルルガレギンス,
58,暁丸【具足】,
59,曙丸【具足】,
60,凛【袴】,
61,艶【袴】,
62,紅凛【袴】,
63,紅艶【袴】,
64,ドラゴンフット,
65,ドラゴンレグス,
66,クリームジャージー,
67,コーヒージャージー,
68,ハンターＵグリーヴ,
69,ハンターＵレギンス,
70,ボーンＵグリーヴ,
71,ボーンＵレギンス,
72,ギアノスグリーヴ,
73,ギアノスレギンス,
74,バトルＵグリーヴ,
75,バトルＵレギンス,
76,ランゴＵグリーヴ,
77,ランゴＵレギンス,
78,タロスＵグリーヴ,
79,タロスＵレギンス,
80,ハイメタＵグリーヴ,
81,ハイメタＵレギンス,
82,ゲネポスＵグリーヴ,
83,ゲネポスＵレギンス,
84,イーオスＵグリーヴ,
85,イーオスＵレギンス,
86,ゲリョスＵグリーヴ,
87,ゲリョスＵレギンス,
88,ガレオスＵグリーヴ,
89,ガレオスＵレギンス,
90,リオハートグリーヴ,
91,リオハートレギンス,
92,フルフルＵグリーヴ,
93,フルフルＵレギンス,
94,リオソウルグリーヴ,
95,リオソウルレギンス,
96,ガノスＵグリーヴ,
97,ガノスＵレギンス,
98,バサルＵグリーヴ,
99,バサルＵレギンス,
100,ディアブロＵグリーヴ,
101,ディアブロＵレギンス,
102,モノデビルグリーヴ,
103,モノデビルレギンス,
104,グラビドＵグリーヴ,
105,グラビドＵレギンス,
106,忍の足袋・空,
107,忍の足袋・海,
108,ガーディアンＵブーツ,
109,ガーディアンＵフット,
110,ヘルパーＵソックス,
111,ヒーラーＵソックス,
112,暁丸・皇【具足】,
113,曙丸・皇【具足】,
114,凛・皇【袴】,
115,艶・皇【袴】,
116,ミラバルカンフット,
117,ミラバルカンレグス,
118,ゴールドルナグリーヴ,
119,ゴールドルナレギンス,
120,シルバーソルグリーヴ,
121,シルバーソルレギンス,
122,グリーンＳジャージー,
123,ブルーＳジャージー,
124,ハンターＳグリーヴ,
125,ハンターＳレギンス,
126,ボーンＳグリーヴ,
127,ボーンＳレギンス,
128,ランポスＳグリーヴ,
129,ランポスＳレギンス,
130,バトルＳグリーヴ,
131,バトルＳレギンス,
132,ランゴＳグリーヴ,
133,ランゴＳレギンス,
134,タロスＳグリーヴ,
135,タロスＳレギンス,
136,ハイメタＳグリーヴ,
137,ハイメタＳレギンス,
138,ゲネポスＳグリーヴ,
139,ゲネポスＳレギンス,
140,クックＳグリーヴ,
141,クックＳレギンス,
142,イーオスＳグリーヴ,
143,イーオスＳレギンス,
144,ゲリョスＳグリーヴ,
145,ゲリョスＳレギンス,
146,ガレオスＳグリーヴ,
147,ガレオスＳレギンス,
148,レイアＳグリーヴ,
149,レイアＳレギンス,
150,フルフルＳグリーヴ,
151,フルフルＳレギンス,
152,レウスＳグリーヴ,
153,レウスＳレギンス,
154,ガノスＳグリーヴ,
155,ガノスＳレギンス,
156,バサルＳグリーヴ,
157,バサルＳレギンス,
158,ディアブロＳグリーヴ,
159,ディアブロＳレギンス,
160,モノブロスＳグリーヴ,
161,モノブロスＳレギンス,
162,グラビドＳグリーヴ,
163,グラビドＳレギンス,
164,忍の足袋・天,
165,忍の足袋・地,
166,ギルドガードブーツ紅,
167,ギルドガードタイツ紅,
168,ギルドガードブーツ紅,
169,ギルドガードタイツ紅,
170,暁丸・覇【具足】,
171,曙丸・覇【具足】,
172,凛・覇【袴】,
173,艶・覇【袴】,
174,ドラゴンＳフット,
175,ドラゴンＳレグス,
176,ザザミグリーヴ,
177,ザザミレギンス,
178,ザザミＵグリーヴ,
179,ザザミＵレギンス,
180,ザザミＳグリーヴ,
181,ザザミＳレギンス,
182,コンガグリーヴ,
183,コンガレギンス,
184,コンガＵグリーヴ,
185,コンガＵレギンス,
186,コンガＳグリーヴ,
187,コンガＳレギンス,
188,ブランゴグリーヴ,
189,ブランゴレギンス,
190,ブランゴＵグリーヴ,
191,ブランゴＵレギンス,
192,ブランゴＳグリーヴ,
193,ブランゴＳレギンス,
194,ギザミグリーヴ,
195,ギザミレギンス,
196,ギザミＵグリーヴ,
197,ギザミＵレギンス,
198,ギザミＳグリーヴ,
199,ギザミＳレギンス,
200,キリンレガース,
201,キリンブーツ,
202,キリンＳレガース,
203,キリンＳブーツ,
204,クシャナペイル,
205,クシャナハディ,
206,ミヅハ【具足】,
207,トヨタマ【具足】,
208,エンプレスグリーヴ,
209,エンプレスレギンス,
210,金剛【具足】,
211,不動【具足】,
212,カイザーグリーヴ,
213,カイザーレギンス,
214,夜叉【御足】,
215,修羅【御足】,
216,金色ノ袴,
217,黒子ノ足袋,
218,ミラルーツフット,
219,ミラルーツレギンス,
220,クロオビＳグリーヴ,
221,ギアノスーツフット,
222,ガブラスーツフット,
223,ギルドナイトブーツ,
224,ギルドナイトタイツ,
225,メイドストッキング,
226,プライベートタイツ,
227,ギルドガードブーツ蒼,
228,ギルドガードタイツ蒼,
229,ギルドガードブーツ蒼,
230,ギルドガードタイツ蒼,
231,Ｋ・ロブスタグリーヴ,
232,Ｋ・ロブスタレギンス,
233,Ｆブーツ00,
234,Ｆブーツ01,
235,ブレイドメタルブーツ,
236,クックグリーヴ,
237,クックレギンス,
238,クックＵグリーヴ,
239,クックＵレギンス,
240,ヒプノグリーヴ,
241,ヒプノレギンス,
242,ヒプノＵグリーヴ,
243,ヒプノＵレギンス,
244,ラヴァグリーヴ,
245,ラヴァレギンス,
246,ラヴァＳグリーヴ,
247,ラヴァＳレギンス,
248,ギアノスＵグリーヴ,
249,ギアノスＵレギンス,
250,しろねこ服ブーツ,
251,くろねこ服ブーツ,
252,きんねこ服ブーツ,
253,ゴシックグリーヴ,
254,ゴシックＦグリーヴ,
255,ベイルディバイダー,
256,コムラドブーツ【猩】,
257,ジストレルレッグ,
258,デュオグリーヴ,
259,スマートレッグ,
260,ストレングスレッグ,
261,ブートアップレッグ,
262,ユウェネスレッグ,
263,欠番,
264,欠番,
265,エアリアルレッグ,
266,ジストレッグ,
267,欠番,
268,エクストラレッグ,
269,ウナペルトレッグ,
270,キューラーレッグ,
271,欠番,
272,欠番,
273,レックスグリーヴ,
274,レックスレギンス,
275,レックスＳグリーヴ,
276,レックスＳレギンス,
277,パピメルガンバ,
278,パピメルフェムル,
279,パピメルＳガンバ,
280,パピメルＳフェムル,
281,アカムトケマル,
282,アカムトチケル,
283,ウナペルトＦレッグ,
284,あかねこ服Ｆブーツ,
285,メルホアライース,
286,メルホアＵライース,
287,マカルパパンツ,
288,マカルパＵパンツ,
289,オウビートガンバ,
290,オウビートフェムル,
291,オウビートＳガンバ,
292,オウビートＳフェムル,
293,デスギアフェルゼ,
294,デスギアアヴィレ,
295,デスギアＳフェルゼ,
296,デスギアＳアヴィレ,
297,マフモフブーツ,
298,マフモフＳブーツ,
299,クシャナＦペイル,
300,クシャナＦハディ,
301,カイザーＦグリーヴ,
302,カイザーＦレギンス,
303,ミヅハ魁【具足】,
304,トヨタマ魁【具足】,
305,金剛・魁【具足】,
306,不動・魁【具足】,
307,夜叉・魁【御足】,
308,修羅・魁【御足】,
309,エンプレスＦグリーヴ,
310,エンプレスＦレギンス,
311,金色ノ袴・魁,
312,黒子ノ足袋・魁,
313,ガルルガＦグリーヴ,
314,ガルルガＦレギンス,
315,クシャナＦペイル,
316,クシャナＦハディ,
317,カイザーＦグリーヴ,
318,カイザーＦレギンス,
319,ミヅハ魁【具足】,
320,トヨタマ魁【具足】,
321,金剛・魁【具足】,
322,不動・魁【具足】,
323,夜叉・魁【御足】,
324,修羅・魁【御足】,
325,エンプレスＦグリーヴ,
326,エンプレスＦレギンス,
327,金色ノ袴・魁,
328,黒子ノ足袋・魁,
329,ガルルガＦグリーヴ,
330,ガルルガＦレギンス,
331,ラヴァＵグリーヴ,
332,ラヴァＵレギンス,
333,ホワイトメタルブーツ,
334,セレストグリーヴ,
335,シエルディバイダー,
336,コムラダブーツ【赤】,
337,コムラダブーツ【青】,
338,コムラダブーツ【緑】,
339,コムラダブーツ【橙】,
340,ダミー,
341,ダミー,
342,エスピナフェルゼ,
343,エスピナアヴィレ,
344,エスピナＦフェルゼ,
345,エスピナＦアヴィレ,
346,アスールグリーヴ,
347,アスールレギンス,
348,アメザリグリーヴ,
349,アメザリレギンス,
350,プロミスブーツ【白】,
351,プロミスブーツ【青】,
352,プロミスブーツ【紫】,
353,プロミスブーツ【黄】,
354,ブリスブーツ【白】,
355,ブリスブーツ【青】,
356,ブリスブーツ【紫】,
357,ブリスブーツ【黄】,
358,ブリスＦブーツ【白】,
359,ブリスＦブーツ【青】,
360,ブリスＦブーツ【紫】,
361,ブリスＦブーツ【黄】,
362,ロジウェアレッグ,
363,バトルレギンスSP青,
364,バトルレギンスSP黄,
365,バトルレギンスSP紫,
366,レイアグリーヴSP青,
367,レイアグリーヴSP赤,
368,レイアグリーヴSP黒,
369,フルフルフットSP青,
370,フルフルフットSP緑,
371,フルフルフットSP黒,
