index,source,target
0,装備無し,
1,レザーライトベルト,
2,スキンライトベルト,
3,チェーンライトベルト,
4,アイアンベルト,
5,ハンターフォールド,
6,ハンターコート,
7,ボーンフォールド,
8,ボーンコート,
9,ランポスフォールド,
10,ランポスコート,
11,バトルフォールド,
12,バトルコート,
13,ハイドベルト,
14,ランゴフォールド,
15,ランゴコート,
16,タロスフォールド,
17,タロスコート,
18,ハイメタフォールド,
19,ハイメタコート,
20,ゲネポスフォールド,
21,ゲネポスコート,
22,クロムメタルコイル,
23,クックフォールド,
24,クックコート,
25,イーオスフォールド,
26,イーオスコート,
27,ゲリョスフォールド,
28,ゲリョスコート,
29,ガレオスフォールド,
30,ガレオスコート,
31,スティールベルト,
32,レイアフォールド,
33,レイアコート,
34,フルフルフォールド,
35,フルフルコート,
36,レウスフォールド,
37,レウスコート,
38,バサルフォールド,
39,バサルコート,
40,ディアブロコイル,
41,ディアブロコート,
42,モノブロスコイル,
43,モノブロスコート,
44,グラビドフォールド,
45,グラビドコート,
46,クロオビフォールド,
47,モスヒップ,
48,メルホアオッハ,
49,ビストロエプロン,
50,忍の帯・陽,
51,忍の帯・陰,
52,ガーディアンコイル,
53,ガーディアンコート,
54,ヘルパースカート,
55,ヒーラーフリル,
56,ガルルガフォールド,
57,ガルルガコート,
58,暁丸【腰当て】,
59,曙丸【腰当て】,
60,凛【腰当て】,
61,艶【腰当て】,
62,紅凛【腰当て】,
63,紅艶【腰当て】,
64,ドラゴンウイング,
65,ドラゴンテイル,
66,レザーライトＵベルト,
67,チェーンＵベルト,
68,ハンターＵフォールド,
69,ハンターＵコート,
70,ボーンＵフォールド,
71,ボーンＵコート,
72,ギアノスフォールド,
73,ギアノスコート,
74,バトルＵフォールド,
75,バトルＵコート,
76,ランゴＵフォールド,
77,ランゴＵコート,
78,タロスＵフォールド,
79,タロスＵコート,
80,ハイメタＵフォールド,
81,ハイメタＵコート,
82,ゲネポスＵフォールド,
83,ゲネポスＵコート,
84,クックＵフォールド,
85,クックＵコート,
86,イーオスＵフォールド,
87,イーオスＵコート,
88,ゲリョスＵフォールド,
89,ゲリョスＵコート,
90,ガレオスＵフォールド,
91,ガレオスＵコート,
92,スティールＵベルト,
93,リオハートフォールド,
94,リオハートコート,
95,フルフルＵフォールド,
96,フルフルＵコート,
97,リオソウルフォールド,
98,リオソウルコート,
99,バサルＵフォールド,
100,バサルＵコート,
101,ディアブロＵコイル,
102,ディアブロＵコート,
103,モノデビルコイル,
104,モノデビルコート,
105,グラビドＵフォールド,
106,グラビドＵコート,
107,忍の帯・空,
108,忍の帯・海,
109,ガーディアンＵコイル,
110,ガーディアンＵコート,
111,ヘルパーＵスカート,
112,ヒーラーＵフリル,
113,暁丸・皇【腰当て】,
114,曙丸・皇【腰当て】,
115,凛・皇【腰当て】,
116,艶・皇【腰当て】,
117,ミラバルカンウイング,
118,ミラバルカンテイル,
119,ゴールドルナコイル,
120,ゴールドルナコート,
121,シルバーソルコイル,
122,シルバーソルコート,
123,レザーライトＳベルト,
124,Ｃ・ライトＳベルト,
125,ハンターＳフォールド,
126,ハンターＳコート,
127,ボーンＳフォールド,
128,ボーンＳコート,
129,ランポスＳフォールド,
130,ランポスＳコート,
131,バトルＳフォールド,
132,バトルＳコート,
133,ランゴＳフォールド,
134,ランゴＳコート,
135,タロスＳフォールド,
136,タロスＳコート,
137,ハイメタＳフォールド,
138,ハイメタＳコート,
139,ゲネポスＳフォールド,
140,ゲネポスＳコート,
141,クックＳフォールド,
142,クックＳコート,
143,イーオスＳフォールド,
144,イーオスＳコート,
145,ゲリョスＳフォールド,
146,ゲリョスＳコート,
147,ガレオスＳフォールド,
148,ガレオスＳコート,
149,スティールＳベルト,
150,レイアＳフォールド,
151,レイアＳコート,
152,フルフルＳフォールド,
153,フルフルＳコート,
154,レウスＳフォールド,
155,レウスＳコート,
156,バサルＳフォールド,
157,バサルＳコート,
158,ディアブロＳコイル,
159,ディアブロＳコート,
160,モノブロスＳコイル,
161,モノブロスＳコート,
162,グラビドＳフォールド,
163,グラビドＳコート,
164,忍の帯・天,
165,忍の帯・地,
166,ギルドガードコイル紅,
167,ギルドガードコート紅,
168,ギルドガードコイル紅,
169,ギルドガードコート紅,
170,暁丸・覇【腰当て】,
171,曙丸・覇【腰当て】,
172,凛・覇【腰当て】,
173,艶・覇【腰当て】,
174,ドラゴンＳウイング,
175,ドラゴンＳテイル,
176,ザザミフォールド,
177,ザザミコート,
178,ザザミＵフォールド,
179,ザザミＵコート,
180,ザザミＳフォールド,
181,ザザミＳコート,
182,コンガフォールド,
183,コンガコート,
184,コンガＵフォールド,
185,コンガＵコート,
186,コンガＳフォールド,
187,コンガＳコート,
188,ブランゴフォールド,
189,ブランゴコート,
190,ブランゴＵフォールド,
191,ブランゴＵコート,
192,ブランゴＳフォールド,
193,ブランゴＳコート,
194,ギザミフォールド,
195,ギザミコート,
196,ギザミＵフォールド,
197,ギザミＵコート,
198,ギザミＳフォールド,
199,ギザミＳコート,
200,キリンフープ,
201,キリンショルト,
202,キリンＳフープ,
203,キリンＳショルト,
204,クシャナアンダ,
205,クシャナアドミ,
206,ミヅハ【丸帯】,
207,トヨタマ【丸帯】,
208,エンプレスフォールド,
209,エンプレスコート,
210,金剛【腰当て】,
211,不動【腰当て】,
212,カイザーフォールド,
213,カイザーコート,
214,夜叉【腰巻】,
215,修羅【腰巻】,
216,金色ノ帯,
217,黒子ノ帯,
218,ミラルーツウイング,
219,ミラルーツテイル,
220,ガノスＳフォールド,
221,ガノスＳコート,
222,クロオビＳフォールド,
223,ガブラスーツベルト,
224,ギルドナイトコイル,
225,ギルドナイトスカート,
226,メイドスカート,
227,プライベートフリル,
228,ギルドガードコイル蒼,
229,ギルドガードコート蒼,
230,ギルドガードコイル蒼,
231,ギルドガードコート蒼,
232,Ｋ・ロブスタコイル,
233,Ｋ・ロブスタコート,
234,Ｆウエスト00,
235,Ｆウエスト01,
236,マスターベルト,
237,ヒプノフォールド,
238,ヒプノコート,
239,ヒプノＵフォールド,
240,ヒプノＵコート,
241,ラヴァフォールド,
242,ラヴァコート,
243,ラヴァＳフォールド,
244,ラヴァＳコート,
245,ギアノスＵフォールド,
246,ギアノスＵコート,
247,しろねこ服テイル,
248,くろねこ服テイル,
249,きんねこ服テイル,
250,ゴシックフォールド,
251,ゴシックＦフォールド,
252,ベイルリフレクサー,
253,コムラドベルト【猩】,
254,ジストレルウエスト,
255,デュオフォールド,
256,スマートウエスト,
257,あかねこ服Ｆテイル,
258,ブートアップウエスト,
259,ユウェネスウエスト,
260,欠番,
261,欠番,
262,エアリアルウエスト,
263,ジストウエスト,
264,欠番,
265,エクストラウエスト,
266,ウナペルトウエスト,
267,キューラーウエスト,
268,欠番,
269,欠番,
270,ラフねこ服テイル,
271,レックスフォールド,
272,レックスコート,
273,レックスＳフォールド,
274,レックスＳコート,
275,パピメルアンカ,
276,パピメルコクサ,
277,パピメルＳアンカ,
278,パピメルＳコクサ,
279,アカムトイッケク,
280,アカムトイッケタリ,
281,ウナペルトＦウエスト,
282,メルホアＵオッハ,
283,マカルパコイル,
284,マカルパＵコイル,
285,ビストロＵエプロン,
286,オウビートアンカ,
287,オウビートコクサ,
288,オウビートＳアンカ,
