index,source,target
0,−−−−−−,
1,調合書①入門編,Tome de combos 1
2,調合書②初級編,Tome de combos 2
3,調合書③中級編,Tome de combos 3
4,調合書④上級編,Tome de combos 4
5,調合書⑤達人編,Tome de combos 5
6,調合書Ｇ・錬金編, Tome de combos G
7,回復薬,
8,回復薬グレート,Mega potion
9,栄養剤,Nutriments
10,栄養剤グレート,Mega nutriments
11,解毒薬,
12,活力剤,Immunisateur
13,強走薬,Jus de vitalite
14,強走薬グレート,Mega jus
15,鬼人薬,Potion du demon
16,鬼人薬グレート,Potion du demon+
17,怪力の丸薬,Philtre du diable
18,硬化薬,Potion de pierre
19,硬化薬グレート,Potion de pierre+
20,忍耐の丸薬,Philtre de pierre
21,クーラードリンク,Boisson fraiche
22,ホットドリンク,Boisson chaude
23,千里眼の薬,Serum psy
24,モンスターの体液,Fluide de monstre
25,モンスターの濃汁,Bouillon de monstre
26,漢方薬,Herbe medicinale
27,秘薬,Potion secrete
28,いにしえの秘薬,Potion ancestrale
29,増強剤,Catalyseur
30,元気ドリンコ,Boisson energisante
31,（ダミー）,
32,爆薬,Poudre a canon
33,生命の粉,Cristaux de vie
34,生命の粉塵,Poudre de vie
35,力の護符,Talisman force
36,力の爪,Griffe force
37,守りの護符,Talisman acier
38,守りの爪,Griffe acier
39,捕獲用麻酔薬,Tranquillisant
40,生肉,Viande crue
41,調理肉,Viande cuite
42,スパイシー生肉,Viande epicee
43,クール生肉,Viande fraiche
44,毒生肉,Viande empoisonnee
45,シビレ生肉,Viande paralysante
46,眠り生肉,Viande somnifere
47,生焼け肉,Steak saignant
48,こんがり肉,Steak a point
49,こんがり肉Ｇ,Steak gourmet
50,コゲ肉,Viande brulee
51,ホットミート,Viande chaude
52,ホットミートＧ,Viande chaude G
53,クーラーミート,Viande froide
54,クーラーミートＧ,Viande froide G
55,解毒ミート,Viande antidote
56,解毒ミートＧ,Viande antidote G
57,生焼け魚,Poisson saignant
58,こんがり魚,Poisson a point
59,こんがり魚ドス,Poisson a point+
60,こんがり魚Ｇ,Poisson gourmet
61,こんがり魚ドスＧ,Poisson gourmet+
62,コゲ魚,Poisson brule
63,（ダミー）,
64,ブーメラン,
65,投げナイフ,Cteau de lancer
66,毒投げナイフ,Cteau poison
67,眠り投げナイフ,Cteau sommeil
68,麻痺投げナイフ,Cteau para
69,捕獲用麻酔ナイフ,Cteau tranq
70,素材玉,Comp. bombe
71,ペイントボール,Marqueur
