index,source,target
0,dummy,
1,"‾C05≪総合ショップ≫
‾C00から入手可能。",
2,"‾C05≪総合ショップ≫
‾C00から入手可能。",
3,"‾C05≪総合ショップ≫
‾C00から入手可能。",
4,"‾C05≪総合ショップ≫
‾C00から入手可能。",
5,"‾C05≪総合ショップ≫
‾C00から入手可能。",
6,"条件達成時に
‾C05≪調合屋≫‾C00
から入手可能。",
7,"‾C05≪総合ショップ≫
‾C00から入手可能。",
8,"‾C05≪調合≫
‾C00することで入手可能。",
9,"‾C05≪総合ショップ≫
‾C00から入手可能。",
10,"‾C05≪調合≫‾C00することや
‾C05≪ギルド貢献Ｐ交換≫
‾C00から入手可能。",
11,"‾C05≪総合ショップ≫
‾C00から入手可能。",
12,"‾C05≪調合≫
‾C00することで入手可能。",
13,"‾C05≪調合≫
‾C00することで入手可能。",
14,"‾C05≪調合≫‾C00することや
‾C05≪ギルド貢献Ｐ交換≫
‾C00から入手可能。",
15,"‾C05≪調合≫
‾C00することで入手可能。",
16,"‾C05≪調合≫‾C00することや
‾C05≪ギルド貢献Ｐ交換≫
‾C00から入手可能。",
17,"‾C05≪調合≫
‾C00することで入手可能。",
18,"‾C05≪調合≫
‾C00することで入手可能。",
19,"‾C05≪調合≫‾C00することや
‾C05≪ギルド貢献Ｐ交換≫
‾C00から入手可能。",
20,"‾C05≪調合≫
‾C00することで入手可能。",
21,"‾C05≪総合ショップ≫
‾C00から入手可能。",
22,"‾C05≪総合ショップ≫
‾C00から入手可能。",
23,"‾C05≪総合ショップ≫
‾C00から入手可能。",
24,"‾C05≪ＨＲ1〜2≫‾C00の
‾C05≪ランゴスタ≫≪カンタロス≫‾C00や
‾C05≪Ｎポイント交換≫‾C00から入手可能。",
25,"‾C05≪ＨＲ3〜4≫‾C00の
‾C05≪ランゴスタ≫≪カンタロス≫‾C00や
‾C05≪Ｎポイント交換≫‾C00から入手可能。",
26,"‾C05≪調合≫
‾C00することで入手可能。",
27,"‾C05≪調合≫‾C00することや
‾C05≪ギルド貢献Ｐ交換≫
‾C00から入手可能。",
28,"‾C05≪調合≫‾C00や
‾C05≪Ｎポイント交換≫‾C00
から入手可能。",
29,"‾C05≪調合≫
‾C00することで入手可能。",
30,"‾C05≪調合≫
‾C00することで入手可能。",
31,dummy,
32,"‾C05≪総合ショップ≫
‾C00から入手可能。",
33,"‾C05≪調合≫
‾C00することで入手可能。",
34,"‾C05≪調合≫‾C00することや
‾C05≪ギルド貢献Ｐ交換≫
‾C00から入手可能。",
35,"‾C05≪総合ショップ≫
‾C00から入手可能。",
36,"‾C05≪調合≫
‾C00することで入手可能。",
37,"‾C05≪総合ショップ≫
‾C00から入手可能。",
38,"‾C05≪調合≫
‾C00することで入手可能。",
39,"‾C05≪総合ショップ≫
‾C00から入手可能。",
