index,source,target
0,装備無し,
1,アイアンソード,
2,アイアンソード改,
3,バスターソード,
4,ソウルオブキャット,
5,天下無双刀,
6,バスターブレイド,
7,ブルーウィング,
8,ブレイズブレイド,
9,アッパーブレイズ,
10,鉄刀,
11,鉄刀【禊】,
12,鉄刀【神楽】,
13,骨刀【狼牙】,
14,骨刀【鮫牙】,
15,骨刀【竜牙】,
16,黒刀【零ノ型】,
17,黒刀【弐ノ型】,
18,ディフェンダー,
19,飛竜刀【朱】,
20,センチネル,
21,ハルバード,
22,飛竜刀【青葉】,
23,ジャッジメント,
24,エクスキューション,
25,エクスキューション改,
26,ダークサイス,
27,ダークトーメント,
28,ボーンブレイド,
29,ボーンブレイド改,
30,アギト,
31,黒刀【参ノ型】,
32,リュウノアギト,
33,レッドストライプ,
34,ゴーレムブレイド,
35,ヴァルキリーブレイド,
36,ジークリンデ,
37,ドラゴンキラー,
38,レッドシザー,
39,フィンブレイド,
40,ギザミブレイド,
41,水剣ガノトトス,
42,レッドウィング,
43,炎剣リオレウス,
44,凄くさびた大剣,
45,さびた大剣,
46,ブルークロウブレイド,
47,エンシェントプレート,
48,骨,
49,龍木ノ太刀,
50,龍刀【焔】,
51,龍刀【紅蓮】,
52,蛇剣【蒼蛇】,
53,ダブルブロスソード,
54,蛇剣【大蛇】,
55,アイアンハンマー,
56,アイアンハンマー改,
57,ウォーハンマー,
58,溶解鎚,
59,ウォーメイス,
60,アイアンストライク,
61,ブルヘッドハンマー,
62,ツインブロスハンマー,
63,アイアンインパクト,
64,スパイクハンマー,
65,スパイクハンマー改,
66,クリスタルロック,
67,クリスタルノヴァ,
68,アンヴィルハンマー,
69,ヴェノムモンスター,
70,ボーンアクス,
71,ロブスタンプ,
72,ブロードボーンアクス,
73,ギガントハンマー,
74,イカリハンマーＦ,
75,コーンヘッドハンマー,
76,スイ【烏】,
77,グラビィトンハンマー,
78,ボーンハンマー,
79,ボーンハンマー改,
80,サイクロプスハンマー,
81,龍頭蓋棍,
82,アトラスハンマー,
83,スカルクラッシュ,
84,スカルクラッシュ改,
85,クックジョー,
86,グレートコーン,
87,ギガントハンマー改,
88,バサルブロウ,
89,ブロステイル,
90,ジェイルハンマー,
91,ジェイダイトメイス,
92,ジェイドメイス,
93,工房試作品ガンハンマ,
94,デッドリボルバー,
95,凄くさびた槌,
96,さびた槌,
97,鋼氷棍,
98,ブレス・コア,
99,骨塊,
100,大骨塊,
101,ドラゴンデストロイ,
102,ドラゴンブレイカー,
103,アイアンランス,
104,アイアンランス改,
105,ナイトランス,
106,撃竜槍【阿】,
107,ナイトスクウィード,
108,パラディンランス,
109,ランパート,
110,アイアンガンランス,
111,バベル,
112,鬼鉄,
113,アイアンガンランス改,
114,討伐隊正式銃槍,
115,ダークランス,
116,シルバールーク,
117,ダークスクウィード,
118,パラライザー,
119,トライデント,
120,ボーンジャベリン,
121,ナナ＝ハウル,
122,スパイクスピア,
123,アクアンスピア,
124,ナナ＝ロア,
125,シープソングスピア,
126,ホワイトガンランス,
127,ボーンランス,
128,ボーンランス改,
129,ロングホーン,
130,ブラックキャノン,
131,ロングタスク,
132,バーバリアンタスク,
133,ヘルスティング,
134,ハードヒッター,
135,オーガーランス,
136,レッドテイル,
137,シザーガンランス,
138,龍木ノ槍,
139,ブロスホーン,
140,エメラルドスピア,
141,角槍ディアブロス,
142,ボーンクロウランス,
143,クリムゾンブロス,
144,ヴェノムランス,
145,ブレイドスティンガー,
146,ヴェノムスクウィード,
147,豪槍グラビモス,
148,ガトリングランス,
149,ガトリングランス改,
150,凄くさびた槍,
151,さびた槍,
152,ギザミスティンガー,
153,アンドレイヤー,
