index,source,target
0,装備無し,
1,クロスボウガン,
2,クロスボウガン改,
3,カンタロスガン,
4,ヴァルキリーファイア,
5,スパルタカスファイア,
6,ショットボウガン・蒼,
7,ショットボウガン・碧,
8,ショットボウガン・紅,
9,メイルシュトローム,
10,デザートストーム,
11,グレネードボウガン,
12,タイタングレネード,
13,アルバレスト,
14,アルバレスト改,
15,タンクメイジ,
16,ラピッドキャスト,
17,クイックキャスト,
18,メテオキャノン,
19,青イャンクック砲,
20,カホウ【烏】,
21,老山龍砲,
22,インジェクションガン,
23,ラストニードル,
24,鬼ヶ島,
25,ショットボウガン・白,
26,グラビモスロア,
27,超イャンクック砲,
28,Ｓ・クロスボウガン,
29,ハートヴァルキリー,
30,ヴァルキリーブレイズ,
31,ハートヴァルキリー改,
32,ゴールドヴァルキリー,
33,ソウルスパルタカス,
34,スパルタカスブレイズ,
35,ソウルスパルタカス改,
36,シルバースパルタカス,
37,紅碧の対弩,
38,蒼桜の対弩,
39,ウラノスグレネード,
40,蒼桜の対弩・覇,
41,繚乱の対弩,
42,バレットシャワー・蒼,
43,バレットシャワー・碧,
44,バレットシャワー・紅,
45,レインバレッツ・白,
46,メイルシュトローム改,
47,サンドフォール,
48,デザートテンペスト,
49,サンドフォール改,
50,グレネードボウガン改,
51,タイタングレネード改,
52,クロノスグレネード,
53,クックアンガー,
54,クックレイジ,
55,クロオビボウガン,
56,タツジンボウガン,
57,神ヶ島,
58,ダークフリルパラソル,
59,パールフリルパラソル,
60,ピンクフリルパラソル,
61,Ｓ・アルバレスト,
62,タンクメイジ改,
63,バストンメイジ,
64,クイックキャスト改,
65,デュエルキャスト,
66,デュエルキャスト改,
67,モノデビルキャスト,
68,モノデビルキャスト改,
69,メテオバスター,
70,ヴォルキャノン,
71,ディスティハーダ,
72,イャンクック砲,
73,老山龍砲・覇,
74,老山龍砲・皇,
75,ハニーコーマー,
76,グラビモスハウル,
77,三眼の獅子筒,
78,ハンターボウ賕,
79,ワイルドボウ賕,
80,パワーワイルドボウ賖,
81,クイーンブラスター賖,
82,ハートショットボウ賖,
83,プロミネンスボウ賖,
84,ソニックボウ賕,
85,ブロスホーンボウ賖,
86,龍弓【山崩】,
87,勇気と希望の凄弓賖,
88,龍弓【日輪】,
89,殲滅と破壊の剛弓貤,
90,勝利と栄光の勇弓,
91,ウラナイランプ,
92,ド【烏】,
93,テイルストリング,
94,ラージャンデグ,
95,火竜弩,
96,エビィーガン,
97,ジェイドストーム,
98,デルフ＝ダオラ,
99,カホウ【狼】,
100,バスタークラブ,
101,ガオレンスフィア,
102,ロックイーター,
103,ジェイドテンペスト,
104,キングエビィーガン,
105,ド【狼】,
106,龍弓【月輪】,
107,パワーハンターボウ賖,
108,ハンターボウ貤,
109,ハンターボウ賖,
110,ワイルドボウ貤,
111,ワイルドボウ賖,
112,パワーワイルドボウ貤,
113,クイーンブラスター貤,
114,ハートショットボウ貤,
115,プロミネンスボウ貤,
116,ソニックボウ貤,
117,ソニックボウ賖,
118,ブロスホーンボウ貤,
119,龍弓【国崩】,
120,勇気と希望の凄弓貤,
121,パワーハンターボウ貤,
122,龍頭琴,
123,マジナイランプ,
124,リアル＝ダオラ,
125,アースイーター,
