index,source,target
0,None,
1,Cat Bone Pick,
2,Cat Paw Punch,
3,レイアネコレイピア,
4,レウスネコブレイド,
5,ディアネコハンマー,
6,レックスネコ轟槌,
7,覇剣ネコカムトルム,
8,ドスブルネコタスク,
9,ギルドネコレイピア,
10,ボーンネコハンマー,
11,アイアンネコソード,
12,マカネコピック,
13,巨大ネコどんぐり,
14,ランポスネコピック,
15,マキワリネコ斧,
16,フルフルネコチクリ,
17,神ネコ剣ピカゴロ,
18,金色ネコノカラクリ,
19,クックネコカッター,
20,ワンドネコ＝ダオラ,
21,カイザーネコメイス,
22,ガノスネコボード,
23,ブルーネコカッター,
24,ハートネコレイピア,
25,ルナネコレイピア,
26,チャームネコチクリ,
27,ソウルネコブレイド,
28,ソルネコブレイド,
29,荒くれネコハンマー,
30,ヒスイネコボード,
31,エスピネコソード,
32,カクトスネコソード,
33,ペルレネコソード,
34,ヒプノネコハンマー,
35,七色ネコハンマー,
36,銀色ネコハンマー,
37,ヴォルネコハンマー,
38,マグマネコハンマー,
39,ベルネコハンマー,
40,ホープネコソード,
41,ホープネコハンマー,
42,ゴゴネコハンマー,
43,バンデネコソード,
44,ネコの花団子・赤,
45,ネコの花団子・青,
46,ネコの花団子・黒,
47,ネコの花団子・白,
48,ロンドネコ＝ダオラ,
49,ヴァシムネコレイピア,
50,ジェビアネコレイピア,
51,ゲネポスネコピック,
52,イーオスネコピック,
53,ベルドラネコハンマー,
54,神楽ネコ鈴,
55,神座ネコ鈴,
56,ゴールドネコソード,
57,シルバーネコソード,
58,ブロンズネコソード,
59,テンロウネコソード,
60,レグヌムネコソード,
61,つっぱりネコハンマー,
62,ロロネコフォーク,
63,レイネコフォーク,
64,エンプレネコメイス,
65,ステイルネコソード,
66,たるネコばくだん,
67,ソラダケネコステッキ,
68,モモダケネコステッキ,
69,投影ネコ打撃弓,
70,約束されたネコの剣,
71,ガニアネコソード,
72,ファルノネコハンマー,
73,ゼルネコソード,
74,ポカラネコソード,
75,アカタマネコハンマー,
76,ミドタマネコハンマー,
77,ツリネコハンマー・青,
78,ツリネコハンマー・赤,
79,ツリネコハンマー・黄,
80,アミネコソード,
81,ペンペンネコペーパー,
82,ラヴィネコソード,
83,ラヴィネコソード：狂,
84,アビネコソード,
85,ギアネコソード,
86,キャロネコソード,
87,お祭りネコハンマー,
88,テンロウネコロッド,
89,キャラバンネコ鎚,
90,ペリネコソード,
91,カロテネコソード,
92,青たるネコばくだん,
93,台湾版,
94,台湾版,
95,台湾版,
96,台湾版,
97,台湾版,
98,台湾版,
99,台湾版,
100,Eastern Sword・Praise,
101,Eastern Sword・North,
102,Eastern Sword・Ou,
103,Eastern Sword・Edo,
104,Eastern Sword・Owari,
105,Eastern Mallet・Naniwa,
106,Eastern Mallet・Dualism,
107,Eastern Mallet・Iyo,
108,Eastern Mallet・Tsukushi,
109,グークネコポコポコ,
110,千歳ネコ神楽,
111,エヴォネコソード,
112,Locus Blade・Blue,
113,Locus Blade・Red,
114,Locus Blade・Dark,
115,Locus Blade・Crimson,
116,Locus Blade・Bloom,
117,Locus Blade・Sakura,
118,Locus Blade・Cyan,
119,Locus Blade・Night,
120,Locus Blade・White,
121,Locus Blade・Lilac,
122,Locus Blade・Joy,
123,Locus Blade・Earth,
124,Locus Axe・Blue,
125,Locus Axe・Red,
126,Locus Axe・Dark,
127,Locus Axe・Crimson,
128,Locus Axe・Bloom,
129,Locus Axe・Sakura,
130,Locus Axe・Cyan,
131,Locus Axe・Night,
132,Locus Axe・White,
133,Locus Axe・Lilac,
134,Locus Axe・Joy,
135,Locus Axe・Earth,
136,Nyaestus Estus,
137,Cat Saint's Flag,
138,Big Yakitori Nya!,
139,ダミー,
140,ダミー,
141,ダミー,
142,ダミー,
143,ダミー,
144,ダミー,
145,ダミー,
146,ダミー,
147,ダミー,
148,ダミー,
149,ダミー,
150,ダミー,
151,ダミー,
152,ダミー,
153,ダミー,
154,ダミー,
155,ダミー,
156,ダミー,
157,ダミー,
158,ダミー,
159,ダミー,
160,ダミー,
161,ダミー,
162,ダミー,
163,ダミー,
164,ダミー,
165,ダミー,
166,ダミー,
167,ダミー,
168,ダミー,
169,ダミー,
170,ダミー,
171,ダミー,
172,ダミー,
173,ダミー,
174,ダミー,
175,ダミー,
176,ダミー,
177,ダミー,
178,ダミー,
179,ダミー,
180,ダミー,
181,ダミー,
182,ダミー,
183,ダミー,
184,ダミー,
185,ダミー,
186,ダミー,
187,ダミー,
188,ダミー,
189,ダミー,
190,ダミー,
191,ダミー,
192,ダミー,
193,ダミー,
194,ダミー,
195,ダミー,
196,ダミー,
