location,source,target
0x181500@mhfpac.bin,"捨てる<join at=""1548804"">渡す<join at=""1548808"">入れ替え<join at=""1548812"">送る<join at=""1548816"">Ｆキー登録",
0x181514@mhfpac.bin,"捨てる<join at=""1548824"">‾C10渡す<join at=""1548828"">‾C00入れ替え<join at=""1548832"">送る<join at=""1548836"">Ｆキー登録",
0x181528@mhfpac.bin,"‾C10捨てる<join at=""1548844"">渡す<join at=""1548848"">入れ替え<join at=""1548852"">送る<join at=""1548856"">Ｆキー登録",
0x18153c@mhfpac.bin,"捨てる<join at=""1548864"">渡す<join at=""1548868"">入れ替え<join at=""1548872"">送る<join at=""1548876"">‾C10Ｆキー登録",
0x181550@mhfpac.bin,"捨てる<join at=""1548884"">‾C10渡す<join at=""1548888"">‾C00入れ替え<join at=""1548892"">送る<join at=""1548896"">‾C10Ｆキー登録",
0x181564@mhfpac.bin,"‾C10捨てる<join at=""1548904"">渡す<join at=""1548908"">入れ替え<join at=""1548912"">送る<join at=""1548916"">‾C10Ｆキー登録",
0x181578@mhfpac.bin,"捨てる<join at=""1548924"">渡す<join at=""1548928"">入れ替え<join at=""1548932"">‾C10送る‾C00<join at=""1548936"">Ｆキー登録",
0x18158c@mhfpac.bin,"捨てる<join at=""1548944"">‾C10渡す<join at=""1548948"">‾C00入れ替え<join at=""1548952"">‾C10送る‾C00<join at=""1548956"">Ｆキー登録",
0x1815a0@mhfpac.bin,"‾C10捨てる<join at=""1548964"">渡す<join at=""1548968"">入れ替え<join at=""1548972"">‾C10送る‾C00<join at=""1548976"">Ｆキー登録",
0x1815b4@mhfpac.bin,"捨てる<join at=""1548984"">渡す<join at=""1548988"">入れ替え<join at=""1548992"">‾C10送る‾C00<join at=""1548996"">‾C10Ｆキー登録",
0x1815c8@mhfpac.bin,"捨てる<join at=""1549004"">‾C10渡す<join at=""1549008"">‾C00入れ替え<join at=""1549012"">‾C10送る‾C00<join at=""1549016"">‾C10Ｆキー登録",
0x1815dc@mhfpac.bin,"‾C10捨てる<join at=""1549024"">渡す<join at=""1549028"">入れ替え<join at=""1549032"">‾C10送る‾C00<join at=""1549036"">‾C10Ｆキー登録",
