index,source,target
0,No title applied.,
1,"ハンターとしては半人前。
まだまだ精進が必要。",
2,人並みに知識と経験のあるハンター。,
3,ハンター生活のことなら任せておけ！,
4,ハンターズギルドへ登録した証。,
5,"『新参者』として
狩人の道を歩み始めた証。",
6,"『放浪者』として
狩り場を探索した証。",
7,"『新米狩人』として
認知されるようになった証。",
8,"『森の狩人』として
狩り場の知見を深めた証。",
9,"『監視者』として
各地の任務にあたった証。",
10,"『獣を狩る者』として
実力をつけた証。",
11,"『骨を砕く者』として
さらに実力をつけた証。",
12,"『戦士』として
腕っぷしを認められた証。",
13,"『強気な戦士』として
雄々しさを認められた証。",
14,"『狂戦士』として
勇猛さを認められた証。",
15,"『傭兵』として
多くの活躍をみせた証。",
16,"『賞金稼ぎ』として
あまたの功績を残した証。",
17,"『老練な戦士』として
豊富な経験をたたえられた証。",
18,"『鉄を砕く者』として
剛腕を認められた証。",
19,"『武士』として
その生き様をたたえられた証。",
20,"『大地を歩む者』として
さらに活躍の場を広げた証。",
21,"『徘徊者』として
各地の狩り場を踏破した証。",
22,"『探検家』として
新天地開拓に貢献した証。",
23,"『森の守護者』として
強敵に打ち勝った証。",
24,"『狩人王』として
当代随一の功績を残した証。",
25,"『栄光なる勇士』として
大いなる賞賛を集めた証。",
26,"『王者』として
比類なき者となった証。",
27,"『英雄』として
歴史に名を残すようになった証。",
28,"『探求者』として
さらなる狩猟の極意を追求した証。",
29,"『求道者』として
伝説に名を残すようになった証。",
30,"所持金が規定額を超えた、大金持ち
の称号。金で買えないものはない？",
31,"プレイ時間が規定時間を越えた証。
「モンスターハンター」命！",
32,"調合のことなら任せとけ！
知らないアイテムはない！？",
33,"食事が規定回数オーバー！
アイルーの料理が大好き。",
34,"パーティー開催規定回数オーバー！
人をもてなすのが大好き。",
35,フレンドリストに友達一杯！,
36,"腕ずもう界の横綱。
腕力には自信あり！！",
37,"飲みくらべキング！
鉄の肝臓を持っている！？",
38,"射的ゲームで高得点をとった証。
止まっている的なんて楽勝！",
39,"レア度の高いアイテムを数多く所持。
強運の持ち主！！",
40,"村の収穫祭イベント発生。
次期村長候補！？",
41,Hunted 20 Velocidrome.,
42,Hunted 20 Gendrome.,
43,Hunted 20 Iodrome.,
44,Hunted 20 Bulldrome.,
45,Hunted 20 Kut-Ku.,
46,Hunted 20 Gypceros.,
47,Hunted 20 Cephadrome.,
48,Hunted 20 Rathian.,
49,Hunted 20 Khezu.,
50,Hunted 20 Plesioth.,
51,Hunted 20 Monoblos.,
52,Hunted 20 Diablos.,
53,Hunted 20 Basarios.,
54,Hunted 20 Gravios.,
55,Hunted 20 Rathalos.,
56,Hunted 20 Kirin.,
57,Hunted 20 Garuga.,
58,Hunted 20 Daimyo.,
59,Hunted 20 Shogun.,
60,Hunted 20 Blangonga.,
61,Hunted 20 Congalala.,
62,Hunted 20 Kushala.,
63,Hunted 20 Chameleos.,
64,Hunted 20 Teostra.,
65,Hunted 20 Lunastra.,
66,Hunted 50 Velocidrome.,
67,Hunted 50 Gendrome.,
68,Hunted 50 Iodrome.,
69,Hunted 50 Bulldrome.,
70,Hunted 50 Kut-Ku.,
71,Hunted 50 Gypceros.,
72,Hunted 50 Cephadrome.,
73,Hunted 50 Rathian.,
74,Hunted 50 Khezu.,
75,Hunted 50 Plesioth.,
76,Hunted 50 Monoblos.,
77,Hunted 50 Diablos.,
78,Hunted 50 Basarios.,
79,Hunted 50 Gravios.,
80,Hunted 50 Rathalos.,
81,Hunted 50 Kirin.,
82,Hunted 50 Garuga.,
83,Hunted 50 Daimyo.,
84,Hunted 50 Shogun.,
85,Hunted 50 Blangonga.,
86,Hunted 50 Congalala.,
87,Hunted 50 Kushala.,
88,Hunted 50 Chameleos.,
89,Hunted 50 Teostra.,
90,Hunted 50 Lunastra.,
91,Hunted 30 Rajang.,
92,Hunted 30 Garuba.,
93,Hunted 30 Shen Gaoren.,
94,Hunted 30 Lao-Shan.,
95,Hunted 30 Yamatsukami.,
96,Hunted 30 Fatalis.,
97,Hunted 30 Crimson Fatalis.,
98,Hunted 30 White Fatalis.,
99,"メインターゲットとなっていた
モンスターを100匹捕獲。",
100,"狩ったモンスターのうち
5匹以上がキングサイズ！",
101,"狩ったモンスターのうち
10匹以上がキングサイズ！",
102,"狩ったモンスターのうち
15匹以上がキングサイズ！",
103,"狩ったモンスターのうち
5匹以上がビッグサイズ！",
104,"狩ったモンスターのうち
10匹以上がビッグサイズ！",
105,"狩ったモンスターのうち
15匹以上がビッグサイズ！",
106,"狩ったモンスターのうち
5匹以上がスモールサイズ！",
107,"狩ったモンスターのうち
10匹以上がスモールサイズ！",
108,"狩ったモンスターのうち
15匹以上がスモールサイズ！",
109,"Possess many Sword and Shields.
The basic equipment of any hunter.",
110,"Possess many Greatswords.
A mighty weapon!",
111,"Possess many Lances.
A weapon for distinguished hunters!",
112,"Possess many Hammers.
A romantic's weapon!",
113,"Possess many Dual Sword.
Weapons of beauty!",
114,"Possess many Light Bowguns.
A weapon that demands skill!",
115,"Possess many Heavy Bowguns.
A deadly weapon!",
116,"Possess many Longswords.
The swordfighter's favorite!",
117,"Possess many Bows.
A gallant weapon!",
118,"Possess many Gunlances.
Become an iron wall!",
119,"Possess many Hunting Horns.
A fraternal weapon!",
120,"すべての種類のレアな武器を所持。
あらゆる武器を使いこなす
ハンターの中のハンター。",
121,"レアな防具を多数所持。
なにを着ようか迷っちゃう？",
122,"シンボルカラー全色コンプリート。
すべての人と友情スキル！！",
123,"ターゲット「特産キノコ」を
30回クリア！",
124,"ターゲット「厳選キノコ」を
30回クリア！",
125,"ターゲット「飛竜の卵」を
30回クリア！",
126,"ターゲット「水晶運び系」を
30回クリア！",
127,"ターゲット「火薬岩」を
30回クリア！",
128,"ターゲット「旗たて」を
30回クリア！",
129,運搬クエストを30回クリア！,
130,"「密林」でのクエストを
100回クリア！",
131,"「砂漠」でのクエストを
100回クリア！",
132,"「沼地」でのクエストを
100回クリア！",
133,"「雪山」でのクエストを
100回クリア！",
134,"「火山」でのクエストを
100回クリア！",
135,"「森丘」でのクエストを
100回クリア！",
136,"道場のポイント合計が
200000Pをオーバー！！",
137,"道場で手に入る
コインをコンプリート！",
138,"道場でのリザルトポイントが
15000Pオーバー！",
139,狩人道場クエストをすべてクリア。,
140,"教官の出すチュートリアルクエスト
をすべてクリア。",
141,大闘技会で、５０回勝利！,
142,大闘技会で、５０回敗北…,
143,"HR2以下の街襲撃クエストを
30回以上クリア。",
144,"HR3以上の街襲撃クエストを
30回以上クリア。",
145,村のフリークエストを全てクリア。,
146,"旧HR30以下のフリークエストと
公式狩猟試験を全てクリア。",
147,"すべてのオンラインクエストを
完全制覇！",
148,Hunted 20 Hypnoc.,
149,Hunted 20 Volganos.,
150,Hunted 20 Tigrex.,
151,Hunted 20 Akantor.,
152,Hunted 20 Espinas.,
153,Hunted 20 Vashimu.,
154,Hunted 20 Berukyurosu.,
155,Hunted 20 Pariapuria.,
156,Hunted 20 Kamu.,
157,Hunted 20 Nono.,
158,Hunted 20 Dyuragaua.,
159,Hunted 20 Gurenzeburu.,
160,Hunted 20 Rukodiora.,
161,Hunted 20 Gogomoa.,
162,ヒプノック種を50頭狩猟。,
163,ヴォルガノス種を50頭狩猟。,
164,ティガレックスを50頭狩猟。,
165,アカムトルムを50頭討伐。,
166,エスピナス種を50頭狩猟。,
167,アクラ・ヴァシム種を50匹討伐。,
168,ベルキュロス種を50頭狩猟。,
169,パリアプリアを50頭狩猟。,
170,カム・オルガロンを50頭狩猟。,
171,ノノ・オルガロンを50頭狩猟。,
172,デュラガウアを50頭狩猟。,
173,グレンゼブルを50頭狩猟。,
174,ルコディオラを50体討伐。,
175,ゴゴモアを50頭狩猟。,
176,幻のラージャンを討伐。,
177,幻のドラギュロスを討伐。,
178,謎のモンスターを討伐。,
179,"「樹海」でのクエストを
100回クリア！",
180,"「峡谷」でのクエストを
100回クリア！",
181,"「高地」でのクエストを
100回クリア！",
182,"「潮島」でのクエストを
100回クリア！",
183,グークと仲良くなった。,
184,キャラバンの知名度が最高になった。,
185,"片手剣の秘伝書が
≪HR7≫になった証。",
186,"双剣の秘伝書が
≪HR7≫になった証。",
187,"大剣の秘伝書が
≪HR7≫になった証。",
188,"太刀の秘伝書が
≪HR7≫になった証。",
189,"ハンマーの秘伝書が
≪HR7≫になった証。",
190,"狩猟笛の秘伝書が
≪HR7≫になった証。",
191,"ランスの秘伝書が
≪HR7≫になった証。",
192,"ガンランスの秘伝書が
≪HR7≫になった証。",
193,"ライトボウガンの秘伝書が
≪HR7≫になった証。",
194,"ヘビィボウガンの秘伝書が
≪HR7≫になった証。",
195,"弓の秘伝書が
≪HR7≫になった証。",
196,"猟団入団中に、猟団プーギーの
「プーギースキル」を50回発動！",
197,"猟団入団中に、猟団部屋で
「追加依頼」を受注して50回クリア！",
198,アビオルグを20頭狩猟。,
199,アビオルグを50頭狩猟。,
200,タイクンザムザを20匹狩猟。,
201,タイクンザムザを50匹狩猟。,
202,クアルセプスを20頭狩猟。,
203,クアルセプスを50頭狩猟。,
204,オディバトラスを30頭討伐。,
205,"あえて苦難の道を選び
覇種ＵＮＫＮＯＷＮを討伐。",
206,"あえて苦難の道を選び
覇種ＵＮＫＮＯＷＮを10頭討伐。",
207,"あえて苦難の道を選び
覇種オディバトラスを討伐。",
208,"あえて苦難の道を選び
覇種オディバトラスを10頭討伐。",
209,"あえて苦難の道を選び
覇種パリアプリアを討伐。",
210,"あえて苦難の道を選び
覇種パリアプリアを10頭討伐。",
211,"あえて苦難の道を選び
覇種ドラギュロスを討伐。",
212,"あえて苦難の道を選び
覇種ドラギュロスを10頭討伐。",
213,"あえて苦難の道を選び
覇種テオ・テスカトルを討伐。",
214,"あえて苦難の道を選び
覇種テオ・テスカトルを10体討伐。",
215,"あえて苦難の道を選び
絢爛豪華な覇種モンスターを討伐。",
216,"あえて苦難の道を選び
絢爛豪華な覇種モンスターを10組討伐。",
217,"あえて苦難の道を選び
六種の覇種モンスターを討伐。",
218,数多の武器種を極めた証。,
219,ポカラドンを20頭狩猟。,
220,ポカラドンを50頭狩猟。,
221,ファルノックを20頭狩猟。,
222,ファルノックを50頭狩猟。,
223,ヒュジキキを20頭狩猟。,
224,ヒュジキキを50頭狩猟。,
225,ミドガロンを20頭狩猟。,
226,ミドガロンを50頭狩猟。,
227,ギアオルグを20頭狩猟。,
228,ギアオルグを50頭狩猟。,
229,アノルパティスを20頭狩猟。,
230,アノルパティスを50頭狩猟。,
231,ディスフィロアを20体討伐。,
232,ディスフィロアを50体討伐。,
233,レビディオラを20体討伐。,
234,レビディオラを50体討伐。,
235,謎のモンスターを討伐。,
236,謎のモンスターを10頭討伐。,
237,シャンティエンを20体討伐。,
238,シャンティエンを50体討伐。,
239,≪Ｇ級≫に上がる資格を得た者の証。,
240,"「極海」でのクエストを
100回クリア！",
241,ゴウガルフを20頭狩猟。,
242,ゴウガルフを50頭狩猟。,
