index,source,target
0,"None<join at=""1503076"">　",
1,"歩行<join at=""1503084"">押下中は前方に
歩行",
2,"ダッシュ<join at=""1503092"">押下中は前方に
ダッシュ",
3,"回避<join at=""1503100"">方向カーソルの向
いている方へ回避",
4,"Reset Camera<join at=""1503108"">カメラを前方へ
リセット",
5,"カメラ・反時計<join at=""1503116"">カメラの角度が
反時計回りに回転",
6,"カメラ・時計<join at=""1503124"">カメラの角度が
時計回りに回転",
7,"　<join at=""1503132"">　",
8,"　<join at=""1503140"">　",
9,"カメラ・上昇<join at=""1503148"">カメラの角度が
上昇",
10,"カメラ・下降<join at=""1503156"">カメラの角度が
下降",
11,"弾の選択・上送り<join at=""1503164"">クエスト中に
弾を選択",
12,"弾の選択・下送り<join at=""1503172"">クエスト中に
弾を選択",
13,"前方向設定攻撃<join at=""1503180"">ゲームパッドの右
スティック前と同じ",
14,"後方向設定攻撃<join at=""1503188"">ゲームパッドの右
スティック後ろと同じ",
15,"右方向設定攻撃<join at=""1503196"">ゲームパッドの右
スティック右と同じ",
16,"左方向設定攻撃<join at=""1503204"">ゲームパッドの右
スティック左と同じ",
17,"特殊攻撃１<join at=""1503212"">ゲームパッドの
Ｒ１ボタンと同じ",
18,"特殊攻撃２<join at=""1503220"">ゲームパッドの
Ｒ３ボタンと同じ",
19,"全方向設定<join at=""1503228"">向きを決定",
20,"全方向設定攻撃<join at=""1503236"">ゲームパッドの右
スティックと同じ",
21,"カメラ左右設定<join at=""1503244"">カメラを時計回り・
反時計回りに回転",
22,"Use Item<join at=""1503252"">アイテムを使用する",
23,"Attack<join at=""1503260"">攻撃に使用",
24,"カメラ<join at=""1503268"">カメラ移動",
25,"コンボパレット再生<join at=""1503276"">セット番号を順次再生",
26,"アイテムの選択・右<join at=""1503284"">回転で選択（右送り)",
27,"アイテムの選択・左<join at=""1503292"">回転で選択（左送り)",
28,"コンボの選択・昇順<join at=""1503300"">コンボパレットの選択
（昇順)",
29,"コンボの選択・降順<join at=""1503308"">コンボパレットの選択
（降順)",
30,"カメラの上下左右設定<join at=""1503316"">カメラの移動
エイミングの操作",
31,"オブジェクトアクセス<join at=""1503324"">採取や剥ぎ取り動作",
32,"アイテム選択<join at=""1503332"">テーブルを左右に回転",
33,"コンボパレット再生<join at=""1503340"">セット番号を順次再生",
34,"ダッシュ<join at=""1503348"">押下中はダッシュ",
35,"回避行動<join at=""1503356"">進行方法へ回避
停止時はしゃがむ",
36,"特殊行動<join at=""1503364"">武器毎に特殊行動",
37,"弾丸ビン剣晶選択<join at=""1503372"">テーブルを上下へ回転",
38,"カメラ左右移動<join at=""1503380"">スコープモードや照準
移動時は上下移動可",
39,"Guard<join at=""1503388"">防御態勢を取る",
40,"Reload<join at=""1503396"">弾丸の装填",
41,"Charge<join at=""1503404"">強い打撃技を放つ",
42,"Guard<join at=""1503412"">防御態勢を取る",
43,"Guard<join at=""1503420"">防御態勢を取る",
44,"Reload<join at=""1503428"">弾丸の装填",
45,"Demon Mode<join at=""1503436"">一時攻撃力を増す",
46,"Spirit Blade<join at=""1503444"">ゲージ消費斬撃",
47,"演奏開始<join at=""1503452"">狩猟補助の旋律を演奏",
48,"Guard<join at=""1503460"">防御態勢を取る",
49,"Take Aim<join at=""1503468"">矢の軌道目安を表示",
