0,ダミー,Données Factices
"1,スキル「高速剥ぎ取り＆採取」が
発動します。,Le talent « Collecte & Dépeçage rapide » est activé.
2,スキル「武器捌き」が発動します。,Le talent « Maniement d'arme » est activé.
3,スキル「集中+2」が発動します。,Le talent « Concentration +2 » est activé.
"4,スキル「ハンター満喫」が
発動します。,Le Talent « Vie de chasseur» est activé.
"5,スキル「状態異常無効」が
発動します。,Le Talent « Immunité aux altérations d'état » est activé.
"6,スキル「状態異常無効【多種】」が
発動します。,Le Talent « Immunité aux altérations d'état [Types multiples] » est activé.
7,スキル「餓狼+2」が発動します。,Le Talent « Loup affamé +2 » est activé.
"8,スキル「盤石の構え」が
発動します。,Le Talent « Posture inébranlable » est activé.
9,スキル「一匹狼」が発動します。,Le Talent « Loup solitaire » est activée.
10,スキル「吸血+2」が発動します。,Le Talent « Vampirisme +2 » est activée.
"11,スキル「回避距離UP」が
発動します。,Le Talent « Distance d'esquive augmentée » est activé.
"12,スキル「調合師+3」が
発動します。,Le Talent « Alchimiste +3 » est activé.
13,スキル「巧流」が発動します。,Le Talent « Flux habile » est activée.
14,スキル「幸運」が発動します。,Le Talent « Chance » est activée.
15,スキル「激運」が発動します。,Le Talent « Chance extrême » est activée.
"16,スキル「剥ぎ取り名人」が
発動します。,Le Talent « Expert dépeceur » est activé.
17,スキル「纏雷」が発動します。,Le Talent « Coup de tonnerre » est activée.
18,スキル「不退ノ構」が発動します。,Le Talent « Posture inébranlable » est activée.
19,スキル「ブチギレ」が発動します。,Le Talent « Rage » est activée.
20,スキル「救援」が発動します。,Le Talent « Sauvetage » est activé.
"21,スキル「体力回復アイテム強化」が
発動します。,Le Talent « Objet de récupération de santé amélioré » est activé.
"22,スキル「はらへり無効」が
発動します。,Le Talent « Immunité à la faim » est activé.
23,スキル「砥匠」が発動します。,Le Talent « Maître Affûteur » est activée.
"24,スキル「ダメージ回復速度+2」が
発動します。,Le Talent « Vitesse de récupération des dégâts +2 » est activé.
"25,スキル「ガード性能+2」が
発動します。,Le Talent « Performance de garde +2 » est activé.
"26,スキル「早食い」が
発動します。,Le Talent « Repas rapide » est activé.
"27,スキル「激励+2」が
発動します。,Le Talent « Encouragement +2 » est activé.
"28,スキル「スタミナ急速回復【大】」が
発動します。,Le Talent « Récupération rapide d'endurance [Grande] » est activé.
"29,スキル「業物+2」が
発動します。,Le Talent « Chef-d'œuvre +2 » est activé.
30,スキル「回避性能+2」が発動します。,Le Talent « Évasion +2 » est activé.
"31,スキル「真根性」が
発動します。,Le Talent « Véritable Ténacité » est activé.
"32,スキル「磁力耐性」が
発動します。,Le Talent « Résistance magnétique » est activé.
"33,スキル「結晶耐性」が
発動します。,Le Talent « Résistance aux cristaux » est activé.
"34,スキル「真打+3」が
発動します。,Le Talent « Véritable Maître +3 » est activé.

